ship,berth,k,value
0,0,0,10142
0,0,1,9014
0,0,2,10311
0,1,0,5533
0,1,1,7365
0,1,2,9565
0,2,0,7164
0,2,1,7208
0,2,2,10733
1,0,0,5248
1,0,1,9820
1,0,2,8949
1,1,0,8567
1,1,1,5904
1,1,2,7130
1,2,0,8057
1,2,1,9186
1,2,2,5259
2,0,0,7944
2,0,1,10629
2,0,2,6941
2,1,0,9350
2,1,1,7440
2,1,2,9307
2,2,0,6209
2,2,1,7512
2,2,2,9343
3,0,0,10925
3,0,1,7059
3,0,2,8528
3,1,0,10210
3,1,1,6792
3,1,2,8709
3,2,0,7279
3,2,1,9150
3,2,2,6386
4,0,0,10054
4,0,1,9943
4,0,2,8513
4,1,0,10382
4,1,1,5844
4,1,2,8683
4,2,0,8612
4,2,1,9668
4,2,2,9321
