berth,row,slot,value
0,0,0,18
0,0,1,15.5
0,0,2,16
0,0,3,21.5
0,0,4,18
0,0,5,22.5
0,0,6,19
0,0,7,21.5
0,0,8,19
0,0,9,22.5
0,0,10,25
0,0,11,22.5
0,0,12,22
0,0,13,25.5
0,0,14,27
0,0,15,24.5
0,0,16,28
0,0,17,26.5
0,0,18,24
0,0,19,26.5
0,0,20,29
0,0,21,29.5
0,0,22,29
0,0,23,31.5
0,1,0,20
0,1,1,16.5
0,1,2,17
0,1,3,19.5
0,1,4,18
0,1,5,21.5
0,1,6,19
0,1,7,23.5
0,1,8,22
0,1,9,22.5
0,1,10,23
0,1,11,23.5
0,1,12,26
0,1,13,21.5
0,1,14,23
0,1,15,27.5
0,1,16,25
0,1,17,26.5
0,1,18,28
0,1,19,25.5
0,1,20,30
0,1,21,30.5
0,1,22,31
0,1,23,29.5
0,2,0,15
0,2,1,16.5
0,2,2,21
0,2,3,19.5
0,2,4,20
0,2,5,21.5
0,2,6,19
0,2,7,19.5
0,2,8,22
0,2,9,23.5
0,2,10,21
0,2,11,25.5
0,2,12,23
0,2,13,24.5
0,2,14,23
0,2,15,25.5
0,2,16,25
0,2,17,28.5
0,2,18,26
0,2,19,27.5
0,2,20,30
0,2,21,26.5
0,2,22,29
0,2,23,27.5
0,3,0,17
0,3,1,15.5
0,3,2,21
0,3,3,20.5
0,3,4,19
0,3,5,21.5
0,3,6,22
0,3,7,19.5
0,3,8,24
0,3,9,23.5
0,3,10,25
0,3,11,22.5
0,3,12,25
0,3,13,21.5
0,3,14,25
0,3,15,26.5
0,3,16,23
0,3,17,24.5
0,3,18,28
0,3,19,29.5
0,3,20,25
0,3,21,27.5
0,3,22,27
0,3,23,26.5
0,4,0,18
0,4,1,16.5
0,4,2,19
0,4,3,19.5
0,4,4,21
0,4,5,20.5
0,4,6,18
0,4,7,23.5
0,4,8,19
0,4,9,22.5
0,4,10,25
0,4,11,20.5
0,4,12,24
0,4,13,25.5
0,4,14,23
0,4,15,23.5
0,4,16,25
0,4,17,23.5
0,4,18,24
0,4,19,26.5
0,4,20,30
0,4,21,29.5
0,4,22,28
0,4,23,31.5
0,5,0,20
0,5,1,18.5
0,5,2,16
0,5,3,17.5
0,5,4,20
0,5,5,18.5
0,5,6,22
0,5,7,22.5
0,5,8,24
0,5,9,23.5
0,5,10,21
0,5,11,22.5
0,5,12,24
0,5,13,26.5
0,5,14,24
0,5,15,24.5
0,5,16,26
0,5,17,26.5
0,5,18,27
0,5,19,26.5
0,5,20,27
0,5,21,28.5
0,5,22,29
0,5,23,30.5
0,6,0,18
0,6,1,19.5
0,6,2,17
0,6,3,18.5
0,6,4,20
0,6,5,21.5
0,6,6,23
0,6,7,18.5
0,6,8,20
0,6,9,24.5
0,6,10,25
0,6,11,25.5
0,6,12,26
0,6,13,26.5
0,6,14,24
0,6,15,23.5
0,6,16,27
0,6,17,25.5
0,6,18,24
0,6,19,26.5
0,6,20,27
0,6,21,27.5
0,6,22,27
0,6,23,26.5
0,7,0,17
0,7,1,16.5
0,7,2,16
0,7,3,16.5
0,7,4,22
0,7,5,17.5
0,7,6,19
0,7,7,19.5
0,7,8,21
0,7,9,22.5
0,7,10,21
0,7,11,24.5
0,7,12,21
0,7,13,21.5
0,7,14,23
0,7,15,27.5
0,7,16,27
0,7,17,26.5
0,7,18,25
0,7,19,27.5
0,7,20,29
0,7,21,26.5
0,7,22,30
0,7,23,31.5
0,8,0,20
0,8,1,15.5
0,8,2,21
0,8,3,21.5
0,8,4,17
0,8,5,18.5
0,8,6,20
0,8,7,20.5
0,8,8,24
0,8,9,24.5
0,8,10,20
0,8,11,21.5
0,8,12,25
0,8,13,23.5
0,8,14,25
0,8,15,26.5
0,8,16,23
0,8,17,27.5
0,8,18,28
0,8,19,29.5
0,8,20,25
0,8,21,26.5
0,8,22,30
0,8,23,28.5
0,9,0,15
0,9,1,18.5
0,9,2,19
0,9,3,18.5
0,9,4,18
0,9,5,20.5
0,9,6,22
0,9,7,20.5
0,9,8,24
0,9,9,23.5
0,9,10,25
0,9,11,22.5
0,9,12,24
0,9,13,22.5
0,9,14,23
0,9,15,27.5
0,9,16,27
0,9,17,28.5
0,9,18,24
0,9,19,24.5
0,9,20,28
0,9,21,28.5
0,9,22,27
0,9,23,28.5
0,10,0,15
0,10,1,20.5
0,10,2,21
0,10,3,17.5
0,10,4,21
0,10,5,20.5
0,10,6,18
0,10,7,22.5
0,10,8,24
0,10,9,21.5
0,10,10,22
0,10,11,23.5
0,10,12,22
0,10,13,26.5
0,10,14,25
0,10,15,25.5
0,10,16,27
0,10,17,24.5
0,10,18,28
0,10,19,26.5
0,10,20,25
0,10,21,25.5
0,10,22,29
0,10,23,30.5
0,11,0,18
0,11,1,17.5
0,11,2,17
0,11,3,19.5
0,11,4,21
0,11,5,21.5
0,11,6,21
0,11,7,20.5
0,11,8,23
0,11,9,24.5
0,11,10,21
0,11,11,22.5
0,11,12,22
0,11,13,22.5
0,11,14,25
0,11,15,24.5
0,11,16,26
0,11,17,25.5
0,11,18,25
0,11,19,26.5
0,11,20,30
0,11,21,27.5
0,11,22,26
0,11,23,31.5
0,12,0,18
0,12,1,17.5
0,12,2,21
0,12,3,20.5
0,12,4,17
0,12,5,17.5
0,12,6,19
0,12,7,22.5
0,12,8,22
0,12,9,19.5
0,12,10,23
0,12,11,20.5
0,12,12,22
0,12,13,23.5
0,12,14,22
0,12,15,25.5
0,12,16,24
0,12,17,28.5
0,12,18,28
0,12,19,25.5
0,12,20,27
0,12,21,29.5
0,12,22,26
0,12,23,27.5
0,13,0,19
0,13,1,19.5
0,13,2,16
0,13,3,21.5
0,13,4,21
0,13,5,20.5
0,13,6,22
0,13,7,21.5
0,13,8,22
0,13,9,19.5
0,13,10,25
0,13,11,21.5
0,13,12,22
0,13,13,25.5
0,13,14,24
0,13,15,23.5
0,13,16,25
0,13,17,27.5
0,13,18,29
0,13,19,25.5
0,13,20,25
0,13,21,29.5
0,13,22,31
0,13,23,31.5
0,14,0,20
0,14,1,19.5
0,14,2,16
0,14,3,19.5
0,14,4,17
0,14,5,22.5
0,14,6,20
0,14,7,18.5
0,14,8,23
0,14,9,23.5
0,14,10,25
0,14,11,22.5
0,14,12,23
0,14,13,26.5
0,14,14,22
0,14,15,22.5
0,14,16,27
0,14,17,27.5
0,14,18,29
0,14,19,24.5
0,14,20,30
0,14,21,27.5
0,14,22,26
0,14,23,26.5
0,15,0,20
0,15,1,17.5
0,15,2,19
0,15,3,21.5
0,15,4,17
0,15,5,21.5
0,15,6,23
0,15,7,22.5
0,15,8,19
0,15,9,22.5
0,15,10,23
0,15,11,21.5
0,15,12,25
0,15,13,23.5
0,15,14,25
0,15,15,23.5
0,15,16,23
0,15,17,28.5
0,15,18,24
0,15,19,26.5
0,15,20,30
0,15,21,28.5
0,15,22,28
0,15,23,30.5
0,16,0,17
0,16,1,20.5
0,16,2,19
0,16,3,20.5
0,16,4,20
0,16,5,18.5
0,16,6,19
0,16,7,23.5
0,16,8,23
0,16,9,21.5
0,16,10,23
0,16,11,21.5
0,16,12,24
0,16,13,26.5
0,16,14,27
0,16,15,22.5
0,16,16,27
0,16,17,23.5
0,16,18,25
0,16,19,27.5
0,16,20,27
0,16,21,30.5
0,16,22,28
0,16,23,30.5
0,17,0,18
0,17,1,20.5
0,17,2,16
0,17,3,21.5
0,17,4,17
0,17,5,17.5
0,17,6,21
0,17,7,20.5
0,17,8,21
0,17,9,19.5
0,17,10,21
0,17,11,21.5
0,17,12,24
0,17,13,24.5
0,17,14,27
0,17,15,25.5
0,17,16,27
0,17,17,26.5
0,17,18,25
0,17,19,26.5
0,17,20,29
0,17,21,30.5
0,17,22,28
0,17,23,30.5
0,18,0,16
0,18,1,19.5
0,18,2,16
0,18,3,18.5
0,18,4,22
0,18,5,21.5
0,18,6,19
0,18,7,21.5
0,18,8,24
0,18,9,19.5
0,18,10,21
0,18,11,23.5
0,18,12,25
0,18,13,23.5
0,18,14,26
0,18,15,22.5
0,18,16,25
0,18,17,26.5
0,18,18,27
0,18,19,24.5
0,18,20,28
0,18,21,27.5
0,18,22,31
0,18,23,29.5
0,19,0,18
0,19,1,18.5
0,19,2,20
