ship,berth,k,value
0,0,0,5847
0,0,1,6968
0,0,2,6113
0,1,0,5997
0,1,1,8371
0,1,2,8079
0,2,0,10595
0,2,1,7504
0,2,2,10135
1,0,0,5943
1,0,1,8449
1,0,2,6571
1,1,0,7503
1,1,1,5263
1,1,2,9439
1,2,0,9260
1,2,1,5763
1,2,2,7691
2,0,0,7064
2,0,1,10049
2,0,2,6998
2,1,0,5833
2,1,1,6734
2,1,2,9019
2,2,0,7876
2,2,1,7063
2,2,2,6117
3,0,0,10303
3,0,1,7669
3,0,2,10390
3,1,0,5710
3,1,1,5599
3,1,2,10902
3,2,0,9441
3,2,1,6701
3,2,2,7176
4,0,0,9330
4,0,1,6254
4,0,2,7182
4,1,0,8521
4,1,1,7714
4,1,2,5361
4,2,0,5279
4,2,1,9896
4,2,2,8443
5,0,0,9663
5,0,1,6117
5,0,2,10758
5,1,0,10003
5,1,1,7021
5,1,2,9942
5,2,0,6430
5,2,1,6199
5,2,2,8981
6,0,0,9403
6,0,1,5281
6,0,2,8636
6,1,0,8005
6,1,1,5622
6,1,2,7298
6,2,0,8378
6,2,1,7900
6,2,2,7787
7,0,0,7113
7,0,1,5074
7,0,2,10737
7,1,0,6288
7,1,1,9029
7,1,2,8433
7,2,0,7558
7,2,1,10878
7,2,2,6125
8,0,0,7054
8,0,1,5976
8,0,2,5754
8,1,0,7410
8,1,1,9128
8,1,2,6920
8,2,0,10056
8,2,1,10764
8,2,2,5427
9,0,0,9239
9,0,1,10637
9,0,2,7102
9,1,0,5487
9,1,1,10301
9,1,2,6133
9,2,0,8451
9,2,1,5112
9,2,2,10160
10,0,0,5235
10,0,1,8939
10,0,2,6688
10,1,0,6185
10,1,1,6912
10,1,2,5636
10,2,0,6570
10,2,1,6206
10,2,2,7648
11,0,0,5105
11,0,1,8486
11,0,2,8311
11,1,0,7948
11,1,1,9053
11,1,2,8080
11,2,0,8179
11,2,1,7693
11,2,2,6218
12,0,0,5377
12,0,1,9060
12,0,2,9934
12,1,0,8959
12,1,1,10965
12,1,2,7402
12,2,0,10749
12,2,1,10063
12,2,2,6051
13,0,0,7545
13,0,1,5724
13,0,2,8029
13,1,0,10939
13,1,1,5222
13,1,2,9564
13,2,0,7179
13,2,1,6590
13,2,2,8408
14,0,0,10687
14,0,1,7507
14,0,2,9674
14,1,0,6942
14,1,1,7716
14,1,2,7988
14,2,0,8370
14,2,1,9663
14,2,2,9780
