ship,k,row,slot
0,0,3,0
0,1,13,1
0,2,15,4
0,2,15,5
1,0,9,0
1,1,0,4
1,1,0,5
1,2,13,0
2,0,3,1
2,0,3,2
2,1,14,0
2,2,18,0
3,0,5,1
3,1,14,5
3,1,14,6
3,2,4,4
3,2,4,5
4,0,18,1
4,0,18,2
4,0,18,3
4,1,13,2
4,1,13,3
4,1,13,4
4,2,8,0
4,2,8,1
5,0,16,4
5,0,16,5
5,1,9,3
5,1,9,4
5,1,9,5
5,2,6,1
6,0,0,1
6,1,6,5
6,1,6,6
6,2,7,1
7,0,10,3
7,0,10,4
7,1,7,2
7,1,7,3
7,2,17,0
7,2,17,1
8,0,18,4
8,1,11,2
8,2,7,4
9,0,2,3
9,0,2,4
9,0,2,5
9,1,4,2
9,1,4,3
9,2,19,0
9,2,19,1
10,0,16,1
10,1,0,3
10,2,5,2
11,0,7,5
11,1,12,5
11,2,12,4
12,0,7,0
12,1,15,2
12,1,15,3
12,2,8,2
12,2,8,3
13,0,19,2
13,0,19,3
13,1,8,4
13,1,8,5
13,1,8,6
13,2,1,0
13,2,1,1
14,0,4,0
14,0,4,1
14,1,11,0
14,1,11,1
14,2,3,3
14,2,3,4
15,0,19,4
15,0,19,5
15,1,9,1
15,1,9,2
15,2,15,0
15,2,15,1
16,0,17,2
16,0,17,3
16,1,6,3
16,1,6,4
16,2,10,0
17,0,6,0
17,1,2,0
17,1,2,1
17,2,10,1
17,2,10,2
18,0,13,5
18,1,5,0
18,2,16,2
18,2,16,3
19,0,12,0
19,0,12,1
19,1,12,2
19,1,12,3
19,2,14,1
19,2,14,2
