ship,k,e_sk
0,0,46.0118
0,1,53.8499
0,2,61.2913
1,0,144.418
1,1,153.703
1,2,163.201
2,0,62
2,1,68.8826
2,2,75.3722
3,0,37.7327
3,1,43.9958
3,2,49.2586
4,0,63
4,1,75.5097
4,2,85.7614
5,0,11
5,1,21.1755
5,2,29.1252
6,0,26
6,1,32.4106
6,2,38.981
7,0,111
7,1,125.571
7,2,168
8,0,12
8,1,15.7084
8,2,18.7601
9,0,101
9,1,110.358
9,2,120.087
10,0,58
10,1,62.8904
10,2,66.2453
11,0,13
11,1,15.5683
11,2,18.3074
12,0,74
12,1,80.2858
12,2,89.9254
13,0,7
13,1,16.9754
13,2,27.066
14,0,78
14,1,87.0794
14,2,93.6614
15,0,15
15,1,22.2318
15,2,29.8142
16,0,49
16,1,56.4637
16,2,65.7587
17,0,142
17,1,165.79
17,2,152.419
18,0,133
18,1,137.523
18,2,141.097
19,0,116
19,1,125.291
19,2,135.212
