ship,k,row,intervals
0,0,3,"0"
0,1,13,"1"
0,2,15,"4-5"
1,0,9,"0"
1,1,0,"4-5"
1,2,13,"0"
2,0,3,"1-2"
2,1,14,"0"
2,2,18,"0"
3,0,5,"1"
3,1,14,"5-6"
3,2,4,"4-5"
4,0,18,"1-3"
4,1,13,"2-4"
4,2,8,"0-1"
5,0,16,"4-5"
5,1,9,"3-5"
5,2,6,"1"
6,0,0,"1"
6,1,6,"5-6"
6,2,7,"1"
7,0,10,"3-4"
7,1,7,"2-3"
7,2,17,"0-1"
8,0,18,"4"
8,1,11,"2"
8,2,7,"4"
9,0,2,"3-5"
9,1,4,"2-3"
9,2,19,"0-1"
10,0,16,"1"
10,1,0,"3"
10,2,5,"2"
11,0,7,"5"
11,1,12,"5"
11,2,12,"4"
12,0,7,"0"
12,1,15,"2-3"
12,2,8,"2-3"
13,0,19,"2-3"
13,1,8,"4-6"
13,2,1,"0-1"
14,0,4,"0-1"
14,1,11,"0-1"
14,2,3,"3-4"
15,0,19,"4-5"
15,1,9,"1-2"
15,2,15,"0-1"
16,0,17,"2-3"
16,1,6,"3-4"
16,2,10,"0"
17,0,6,"0"
17,1,2,"0-1"
17,2,10,"1-2"
18,0,13,"5"
18,1,5,"0"
18,2,16,"2-3"
19,0,12,"0-1"
19,1,12,"2-3"
19,2,14,"1-2"
