ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,3.49785e+06,3965,41.222,1,20000,4.32626e+06
1,3.26779e+06,4620,34.4923,1,20000,3.96225e+06
2,2.64263e+06,4034,19.5537,1,20000,3.03774e+06
3,2.48601e+06,5274,28.8661,1,20000,3.06861e+06
4,4.65947e+06,8289,36.2524,1,20000,5.39281e+06
5,4.43739e+06,6631,26.7327,1,20000,4.97867e+06
6,3.14923e+06,4247,20.0118,1,20000,3.55372e+06
7,4.30729e+06,6296,30.7791,1,20000,4.92917e+06
8,1.52553e+06,2880,10.2771,1,20000,1.73395e+06
9,4.06995e+06,7211,27.3944,1,20000,4.62505e+06
10,1.58083e+06,3177,14.1872,1,20000,1.86775e+06
11,1.34956e+06,2903,7.88418,1,20000,1.51014e+06
12,3.4182e+06,5162,23.3081,1,20000,3.88952e+06
13,4.13874e+06,7273,29.4448,1,20000,4.73491e+06
14,3.31167e+06,5968,27.2289,1,20000,3.86222e+06
15,3.47405e+06,5886,24.5585,1,20000,3.9711e+06
16,3.52784e+06,5477,24.648,1,20000,4.02628e+06
17,4.40366e+06,4859,40.9035,1,20000,5.22659e+06
18,1.89026e+06,3962,14.5549,1,20000,2.18532e+06
19,3.80829e+06,6256,28.4184,1,20000,4.38292e+06
