ship,k,value
0,0,1
0,1,3
0,2,3
1,0,1
1,1,1
1,2,1
2,0,2
2,1,2
2,2,3
3,0,1
3,1,1
3,2,1
4,0,1
4,1,1
4,2,2
5,0,1
5,1,1
5,2,1
6,0,2
6,1,2
6,2,2
7,0,2
7,1,2
7,2,2
8,0,1
8,1,2
8,2,1
9,0,2
9,1,2
9,2,2
10,0,2
10,1,2
10,2,2
11,0,1
11,1,1
11,2,1
12,0,1
12,1,1
12,2,1
13,0,1
13,1,2
13,2,2
14,0,2
14,1,2
14,2,1
15,0,2
15,1,2
15,2,2
16,0,1
16,1,1
16,2,1
17,0,2
17,1,2
17,2,2
18,0,1
18,1,1
18,2,2
19,0,2
19,1,2
19,2,3
20,0,1
20,1,1
20,2,1
21,0,2
21,1,1
21,2,1
22,0,1
22,1,1
22,2,1
23,0,2
23,1,2
23,2,2
24,0,2
24,1,2
24,2,2
25,0,2
25,1,2
25,2,2
26,0,2
26,1,1
26,2,1
27,0,1
27,1,1
27,2,1
28,0,2
28,1,2
28,2,1
29,0,1
29,1,1
29,2,1
