ship,k,value
0,0,5
0,1,2
0,2,2
1,0,4
1,1,4
1,2,3
2,0,2
2,1,2
2,2,2
3,0,2
3,1,3
3,2,3
4,0,5
4,1,5
4,2,3
5,0,4
5,1,5
5,2,4
6,0,3
6,1,4
6,2,4
7,0,4
7,1,5
7,2,3
8,0,5
8,1,3
8,2,5
9,0,2
9,1,4
9,2,2
10,0,2
10,1,2
10,2,3
11,0,3
11,1,5
11,2,5
12,0,3
12,1,4
12,2,5
13,0,4
13,1,2
13,2,3
14,0,2
14,1,2
14,2,5
15,0,4
15,1,5
15,2,3
16,0,5
16,1,5
16,2,4
17,0,2
17,1,2
17,2,2
18,0,5
18,1,5
18,2,3
19,0,3
19,1,3
19,2,2
20,0,4
20,1,3
20,2,5
21,0,2
21,1,5
21,2,5
22,0,3
22,1,3
22,2,4
23,0,2
23,1,2
23,2,4
24,0,4
24,1,5
24,2,3
25,0,2
25,1,2
25,2,3
26,0,3
26,1,5
26,2,5
27,0,3
27,1,5
27,2,4
28,0,4
28,1,2
28,2,5
29,0,4
29,1,5
29,2,3
