ship,k,e_sk
0,0,50
0,1,55.6802
0,2,59.7696
1,0,114
1,1,119.529
1,2,125.74
2,0,144
2,1,148.413
2,2,154.056
3,0,34
3,1,38.7298
3,2,42.9732
4,0,66.0543
4,1,69.2383
4,2,72.0733
5,0,63.8375
5,1,71.3328
5,2,79.0093
6,0,116
6,1,118.101
6,2,120.642
7,0,150
7,1,156.913
7,2,165.104
8,0,56
8,1,59.7912
8,2,63.6501
9,0,110
9,1,115.032
9,2,119.839
10,0,93
10,1,118.083
10,2,106.899
11,0,2
11,1,10.3992
11,2,7.41825
12,0,45
12,1,50.8208
12,2,55.7849
13,0,33
13,1,39.5812
13,2,45.6846
14,0,3
14,1,14.3238
14,2,9.75269
15,0,84
15,1,92.1656
15,2,99.9707
16,0,6
16,1,12.2889
16,2,17.4902
17,0,99
17,1,107.027
17,2,112.626
18,0,3
18,1,7.58228
18,2,11.0437
19,0,153
19,1,157.902
19,2,162.613
20,0,129
20,1,134.899
20,2,141.529
21,0,94
21,1,98.2427
21,2,102.81
22,0,68
22,1,71.9237
22,2,76.4275
23,0,59
23,1,71.6364
23,2,80.3148
24,0,156
24,1,157.986
24,2,160.935
25,0,6
25,1,12.8336
25,2,9.42617
26,0,21
26,1,28.6719
26,2,34.2994
27,0,2
27,1,10.192
27,2,17.9537
28,0,19
28,1,21.2249
28,2,23.3913
29,0,93
29,1,97.5036
29,2,102.106
30,0,155
30,1,158.774
30,2,163.502
31,0,129
31,1,134.031
31,2,138.72
32,0,70
32,1,76.7307
32,2,84.6696
33,0,53
33,1,57.7169
33,2,62.0067
34,0,92.4742
34,1,97.0465
34,2,101.723
35,0,167
35,1,171.924
35,2,176.271
36,0,141
36,1,151.458
36,2,162.586
37,0,43
37,1,46.938
37,2,49.4957
38,0,7
38,1,15.4059
38,2,23.8989
39,0,22
39,1,32.4181
39,2,41.011
