ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,2.3343e+06,3991,13.8375,1,20000,2.61504e+06
1,3.13061e+06,5804,17.8749,1,20000,3.49391e+06
2,2.1129e+06,5203,14.6805,1,20000,2.41171e+06
3,2.27453e+06,2769,13.8523,1,20000,2.55435e+06
4,1.51414e+06,3066,14.0651,1,20000,1.7985e+06
5,5.21494e+06,7226,33.0703,1,20000,5.88357e+06
6,1.19031e+06,2829,7.2825,1,20000,1.33879e+06
7,3.2258e+06,4168,21.6161,1,20000,3.66229e+06
8,2.12924e+06,4321,12.2988,1,20000,2.37953e+06
9,2.33301e+06,2994,14.6471,1,20000,2.62895e+06
10,4.8658e+06,7022,36.3854,1,20000,5.60053e+06
11,1.78593e+06,2858,12.473,1,20000,2.03825e+06
12,1.94652e+06,2932,15.2565,1,20000,2.25458e+06
13,3.11325e+06,5496,18.6556,1,20000,3.49186e+06
14,2.4985e+06,4988,17.3346,1,20000,2.85018e+06
15,2.92786e+06,4793,22.1589,1,20000,3.37583e+06
16,2.97297e+06,3735,18.5769,1,20000,3.34824e+06
17,2.84368e+06,4153,20.4693,1,20000,3.25722e+06
18,1.59527e+06,2990,11.3524,1,20000,1.82531e+06
19,2.45113e+06,3976,16.401,1,20000,2.78313e+06
20,2.86118e+06,3646,21.5345,1,20000,3.29551e+06
21,2.08927e+06,2904,13.2555,1,20000,2.35728e+06
22,2.00466e+06,5044,12.9405,1,20000,2.26852e+06
23,5.23079e+06,6630,33.4742,1,20000,5.9069e+06
24,1.09538e+06,2920,6.89413,1,20000,1.23618e+06
25,1.83917e+06,3019,10.8536,1,20000,2.05926e+06
26,2.97962e+06,5322,19.8755,1,20000,3.38246e+06
27,3.22712e+06,3236,23.7631,1,20000,3.70562e+06
28,1.14166e+06,2795,7.22968,1,20000,1.28905e+06
29,2.57851e+06,3802,16.0834,1,20000,2.90398e+06
30,1.90811e+06,3926,13.2579,1,20000,2.17719e+06
31,2.61034e+06,4965,14.1172,1,20000,2.89765e+06
32,3.19292e+06,4224,22.282,1,20000,3.64279e+06
33,2.0114e+06,2962,13.0543,1,20000,2.27544e+06
34,2.6429e+06,5756,38.2114,1,20000,3.41289e+06
35,1.76987e+06,4330,12.9916,1,20000,2.03404e+06
36,4.62524e+06,5562,31.1176,1,20000,5.25315e+06
37,1.4103e+06,3103,9.21475,1,20000,1.5977e+06
38,4.66062e+06,6056,26.8834,1,20000,5.20435e+06
39,5.09924e+06,7117,27.7825,1,20000,5.66201e+06
