ship,k,row,intervals
0,0,4,"0"
0,1,15,"8-9"
0,2,16,"5-6"
1,0,14,"0-1"
1,1,12,"1-2"
1,2,17,"0-1"
2,0,1,"1"
2,1,15,"10-11"
2,2,8,"2"
3,0,7,"0-1"
3,1,9,"0-1"
3,2,11,"2-3"
4,0,5,"2"
4,1,9,"2"
4,2,7,"4"
5,0,13,"5"
5,1,15,"4"
5,2,1,"5"
6,0,2,"4"
6,1,8,"1"
6,2,7,"10"
7,0,2,"9-10"
7,1,19,"6"
7,2,14,"7"
8,0,11,"5-7"
8,1,9,"5-7"
8,2,16,"0"
9,0,11,"0-1"
9,1,17,"6-7"
9,2,10,"1-2"
10,0,17,"4-5"
10,1,7,"5-6"
10,2,2,"2-3"
11,0,11,"4"
11,1,14,"5-6"
11,2,9,"3"
12,0,2,"8"
12,1,16,"9"
12,2,15,"7"
13,0,1,"3-4"
13,1,5,"0-1"
13,2,19,"0-1"
14,0,1,"7"
14,1,12,"9"
14,2,3,"1"
15,0,15,"3"
15,1,1,"2"
15,2,14,"4"
16,0,5,"3"
16,1,13,"9"
16,2,1,"11"
17,0,6,"1-2"
17,1,2,"0-1"
17,2,4,"1-2"
18,0,7,"2-3"
18,1,10,"5-7"
18,2,5,"5-8"
19,0,18,"2-3"
19,1,4,"6-8"
19,2,9,"8-9"
20,0,16,"8"
20,1,17,"2"
20,2,10,"8"
21,0,8,"0"
21,1,12,"0"
21,2,12,"3-4"
22,0,4,"11-12"
22,1,3,"0"
22,2,15,"5-6"
23,0,1,"8-9"
23,1,0,"3-4"
23,2,14,"2"
24,0,15,"0-1"
24,1,10,"3-4"
24,2,13,"0-2"
25,0,6,"5"
25,1,6,"0"
25,2,8,"3"
26,0,6,"8"
26,1,1,"6"
26,2,4,"9-10"
27,0,12,"5"
27,1,9,"4"
27,2,5,"9"
28,0,17,"9-10"
28,1,13,"4"
28,2,16,"4"
29,0,6,"9-10"
29,1,0,"2"
29,2,12,"7-8"
30,0,14,"3"
30,1,5,"4"
30,2,14,"8"
31,0,2,"5-6"
31,1,3,"4-6"
31,2,18,"4-6"
32,0,6,"3-4"
32,1,7,"7-8"
32,2,18,"0"
33,0,6,"6-7"
33,1,0,"7-9"
33,2,0,"5-6"
34,0,12,"10"
34,1,5,"10"
34,2,14,"9-10"
35,0,18,"7-9"
35,1,10,"0"
35,2,3,"2-3"
36,0,8,"4"
36,1,15,"2"
36,2,8,"7-8"
37,0,19,"2-3"
37,1,16,"1-2"
37,2,13,"6-8"
38,0,13,"3"
38,1,10,"9"
38,2,0,"11"
39,0,0,"1"
39,1,8,"5-6"
39,2,1,"0"
40,0,19,"7-9"
40,1,19,"4-5"
40,2,3,"7-9"
41,0,16,"3"
41,1,18,"10"
41,2,13,"10"
42,0,16,"11"
42,1,14,"11"
42,2,17,"3"
43,0,0,"0"
43,1,18,"1"
43,2,4,"3-4"
44,0,10,"10-11"
44,1,11,"8-9"
44,2,4,"5"
