ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,3.8497e+06,5097,29.2467,1,20000,4.43973e+06
1,3.98531e+06,6092,49.6085,1,20000,4.98357e+06
2,3.86565e+06,3877,27.5154,1,20000,4.41983e+06
3,4.65946e+06,6220,38.1538,1,20000,5.42876e+06
4,3.45435e+06,2928,26.1582,1,20000,3.98044e+06
5,2.42208e+06,3024,16.6172,1,20000,2.75745e+06
6,1.28225e+06,2800,7.8203,1,20000,1.44146e+06
7,2.40618e+06,4301,16.8067,1,20000,2.74662e+06
8,4.61125e+06,6873,40.7941,1,20000,5.43401e+06
9,4.36249e+06,5938,50.7758,1,20000,5.38395e+06
10,3.90476e+06,5838,28.3904,1,20000,4.4784e+06
11,2.27299e+06,3980,19.851,1,20000,2.67399e+06
12,1.91541e+06,2848,12.4797,1,20000,2.16785e+06
13,4.48146e+06,6610,32.9902,1,20000,5.14787e+06
14,2.32998e+06,3008,37.6487,1,20000,3.08596e+06
15,1.56227e+06,2894,9.15603,1,20000,1.74828e+06
16,1.52891e+06,2828,10.5938,1,20000,1.74361e+06
17,3.9664e+06,5912,25.1387,1,20000,4.47509e+06
18,5.43252e+06,8721,46.937,1,20000,6.37998e+06
19,5.34743e+06,8139,117.811,1,20000,7.7118e+06
20,1.39873e+06,3394,8.3362,1,20000,1.56885e+06
21,2.92663e+06,4075,41.0104,1,20000,3.75092e+06
22,2.02563e+06,4793,15.3938,1,20000,2.3383e+06
23,3.59825e+06,5236,27.8117,1,20000,4.15972e+06
24,4.58533e+06,6687,53.4918,1,20000,5.66186e+06
25,1.94868e+06,2905,53.0424,1,20000,3.01243e+06
26,1.71691e+06,4625,76.7514,1,20000,3.25656e+06
27,1.9544e+06,3020,12.0813,1,20000,2.19904e+06
28,2.7038e+06,4131,56.026,1,20000,3.82846e+06
29,4.1426e+06,4904,41.4488,1,20000,4.97648e+06
30,1.73273e+06,3013,9.30517,1,20000,1.92184e+06
31,4.73344e+06,8557,32.9254,1,20000,5.40051e+06
32,3.86992e+06,4869,35.9307,1,20000,4.5934e+06
33,3.75799e+06,6699,54.5583,1,20000,4.85586e+06
34,1.9248e+06,4450,12.7616,1,20000,2.18448e+06
35,4.72332e+06,5761,63.0043,1,20000,5.98917e+06
36,2.85518e+06,4149,25.0371,1,20000,3.36007e+06
37,5.06855e+06,6783,51.6652,1,20000,6.10864e+06
38,1.73848e+06,2969,11.7959,1,20000,1.97737e+06
39,2.94278e+06,3656,42.2263,1,20000,3.79096e+06
40,4.13245e+06,8339,33.3782,1,20000,4.80835e+06
41,1.58728e+06,3146,16.1808,1,20000,1.91404e+06
42,1.25531e+06,3327,6.78565,1,20000,1.39435e+06
43,3.01003e+06,4297,19.9695,1,20000,3.41372e+06
44,3.32642e+06,5099,29.8087,1,20000,3.92769e+06
