ship,k,e_sk
0,0,154.594
0,1,161.601
0,2,170.318
1,0,130.01
1,1,146.204
1,2,138.116
2,0,91.3904
2,1,99.8806
2,2,107.687
3,0,29
3,1,37.5576
3,2,55.5573
4,0,157.081
4,1,163.952
4,2,172.29
5,0,81
5,1,86.7877
5,2,91.1933
6,0,102.151
6,1,99.4131
6,2,97
7,0,173.065
7,1,168
7,2,177.159
8,0,54
8,1,64.2357
8,2,77.7136
9,0,138.492
9,1,146.531
9,2,156.34
10,0,63
10,1,70.3425
10,2,78.244
11,0,12
11,1,17.0053
11,2,23.4367
12,0,16
12,1,19.4653
12,2,24.169
13,0,83
13,1,93.1521
13,2,102.11
14,0,124.305
14,1,128.894
14,2,134.477
15,0,129
15,1,131.985
15,2,135.263
16,0,151.118
16,1,144
16,2,148.312
17,0,86
17,1,93.7023
17,2,101.082
18,0,165.394
18,1,174.858
18,2,192.159
19,0,163.786
19,1,179.788
19,2,188.848
20,0,34
20,1,36.5771
20,2,39.6623
21,0,111.139
21,1,117.483
21,2,124.471
22,0,153.608
22,1,156.981
22,2,161.238
23,0,164.776
23,1,174.065
23,2,183.089
24,0,97.6172
24,1,109.765
24,2,125.055
25,0,104.82
25,1,108.757
25,2,116.344
26,0,145.707
26,1,138.156
26,2,142.48
27,0,149.252
27,1,153.822
27,2,146.026
28,0,122.042
28,1,131.782
28,2,140.055
29,0,126.796
29,1,137.985
29,2,152.484
30,0,118.309
30,1,121.432
30,2,115
31,0,20
31,1,31.8934
31,2,44.7513
32,0,79
32,1,88.158
32,2,101.328
33,0,42.3362
33,1,51.9583
33,2,60.1388
34,0,59
34,1,62.2274
34,2,68.2999
35,0,157.809
35,1,166.639
35,2,182.68
36,0,55
36,1,63.7267
36,2,73.9558
37,0,147.378
37,1,157.256
37,2,172.119
38,0,115.99
38,1,118.755
38,2,121.738
39,0,67.1538
39,1,76.1529
39,2,81.9841
40,0,114
40,1,126.734
40,2,140
41,0,120.703
41,1,117.093
41,2,114.515
42,0,157
42,1,158.998
42,2,161.17
43,0,43
43,1,49.4439
43,2,56.5033
44,0,138.649
44,1,147.067
44,2,152.35
