ship,berth,k,value
0,0,0,5502
0,0,1,8454
0,0,2,10841
0,1,0,5182
0,1,1,6560
0,1,2,7054
0,2,0,7434
0,2,1,6859
0,2,2,6355
1,0,0,6360
1,0,1,7986
1,0,2,6352
1,1,0,6785
1,1,1,7921
1,1,2,9369
1,2,0,9997
1,2,1,9905
1,2,2,8221
2,0,0,5448
2,0,1,10372
2,0,2,7731
2,1,0,8059
2,1,1,6954
2,1,2,8852
2,2,0,8990
2,2,1,6979
2,2,2,6239
3,0,0,10073
3,0,1,10707
3,0,2,8395
3,1,0,9804
3,1,1,10719
3,1,2,9831
3,2,0,7155
3,2,1,10714
3,2,2,7733
4,0,0,9045
4,0,1,5469
4,0,2,6870
4,1,0,7956
4,1,1,6278
4,1,2,10336
4,2,0,5284
4,2,1,7510
4,2,2,8520
5,0,0,7837
5,0,1,9633
5,0,2,8147
5,1,0,10010
5,1,1,9934
5,1,2,7161
5,2,0,9083
5,2,1,9185
5,2,2,8292
6,0,0,6459
6,0,1,8324
6,0,2,5944
6,1,0,8771
6,1,1,7377
6,1,2,10152
6,2,0,10113
6,2,1,5739
6,2,2,7428
