ship,k,value
0,0,0.685068
0,1,0.68998
0,2,0.860179
1,0,0.855637
1,1,0.849513
1,2,0.871078
2,0,0.76913
2,1,0.741557
2,2,0.687492
3,0,0.735257
3,1,0.784442
3,2,0.645901
4,0,0.784073
4,1,0.717908
4,2,0.829387
5,0,0.778582
5,1,0.64202
5,2,0.761974
6,0,0.809649
6,1,0.648118
6,2,0.820829
7,0,0.672769
7,1,0.625037
7,2,0.709234
8,0,0.78684
8,1,0.763591
8,2,0.805963
9,0,0.615348
9,1,0.750294
9,2,0.862719
10,0,0.633683
10,1,0.625944
10,2,0.852369
11,0,0.77792
11,1,0.618954
11,2,0.770324
12,0,0.797726
12,1,0.720296
12,2,0.855977
13,0,0.793214
13,1,0.786649
13,2,0.747382
14,0,0.85218
14,1,0.798137
14,2,0.716923
15,0,0.70105
15,1,0.681042
15,2,0.628384
16,0,0.630806
16,1,0.672458
16,2,0.68887
