ship,berth,k,value
0,0,0,10380
0,0,1,6880
0,0,2,10285
0,1,0,9866
0,1,1,5453
0,1,2,6210
0,2,0,8271
0,2,1,10504
0,2,2,10052
0,3,0,10524
0,3,1,10207
0,3,2,10352
1,0,0,7380
1,0,1,10473
1,0,2,8746
1,1,0,6457
1,1,1,8087
1,1,2,6343
1,2,0,9060
1,2,1,6933
1,2,2,5410
1,3,0,5049
1,3,1,6740
1,3,2,5973
2,0,0,10300
2,0,1,10406
2,0,2,7348
2,1,0,6047
2,1,1,8389
2,1,2,5624
2,2,0,8932
2,2,1,10243
2,2,2,7496
2,3,0,5079
2,3,1,6779
2,3,2,8768
3,0,0,10080
3,0,1,6541
3,0,2,6920
3,1,0,6547
3,1,1,10357
3,1,2,10091
3,2,0,10390
3,2,1,5907
3,2,2,10849
3,3,0,10801
3,3,1,7980
3,3,2,7032
4,0,0,10447
4,0,1,5448
4,0,2,5947
4,1,0,5116
4,1,1,10705
4,1,2,5000
4,2,0,6547
4,2,1,10017
4,2,2,10828
4,3,0,9715
4,3,1,10617
4,3,2,6256
5,0,0,7144
5,0,1,9899
5,0,2,6556
5,1,0,6588
5,1,1,6577
5,1,2,10799
5,2,0,9777
5,2,1,6854
5,2,2,7687
5,3,0,5091
5,3,1,9698
5,3,2,7275
6,0,0,7292
6,0,1,5572
6,0,2,7939
6,1,0,9648
6,1,1,10138
6,1,2,6433
6,2,0,8534
6,2,1,8340
6,2,2,6445
6,3,0,9306
6,3,1,8848
6,3,2,7659
7,0,0,6050
7,0,1,8787
7,0,2,6172
7,1,0,8821
7,1,1,6154
7,1,2,5697
7,2,0,8735
7,2,1,7456
7,2,2,8084
7,3,0,6401
7,3,1,9803
7,3,2,10785
8,0,0,6184
8,0,1,8763
8,0,2,10958
8,1,0,10783
8,1,1,5241
8,1,2,8547
8,2,0,5040
8,2,1,8705
8,2,2,7076
8,3,0,6345
8,3,1,6879
8,3,2,8462
9,0,0,8262
9,0,1,6750
9,0,2,9957
9,1,0,5180
9,1,1,9852
9,1,2,6402
9,2,0,5428
9,2,1,6279
9,2,2,8032
9,3,0,7227
9,3,1,7090
9,3,2,10752
10,0,0,8826
10,0,1,8637
10,0,2,10118
10,1,0,7215
10,1,1,9519
10,1,2,7917
10,2,0,8498
10,2,1,10264
10,2,2,5682
10,3,0,6071
10,3,1,6647
10,3,2,8135
11,0,0,6288
11,0,1,6341
11,0,2,6854
11,1,0,10482
11,1,1,5739
11,1,2,7356
11,2,0,9996
11,2,1,9322
11,2,2,9702
11,3,0,5470
11,3,1,5323
11,3,2,7828
12,0,0,7487
12,0,1,8752
12,0,2,10143
12,1,0,9873
12,1,1,8722
12,1,2,10744
12,2,0,6312
12,2,1,7791
12,2,2,5893
12,3,0,9306
12,3,1,6369
12,3,2,7469
13,0,0,10392
13,0,1,8406
13,0,2,6107
13,1,0,9962
13,1,1,5275
13,1,2,10502
13,2,0,6129
13,2,1,10305
13,2,2,6928
13,3,0,7566
13,3,1,8246
13,3,2,8157
14,0,0,5999
14,0,1,10181
14,0,2,6935
14,1,0,6411
14,1,1,7790
14,1,2,7503
14,2,0,6259
14,2,1,5754
14,2,2,5440
14,3,0,6958
14,3,1,7667
14,3,2,7645
15,0,0,5010
15,0,1,8472
15,0,2,8025
15,1,0,7850
15,1,1,6367
15,1,2,8352
15,2,0,10046
15,2,1,5961
15,2,2,6756
15,3,0,9263
15,3,1,8601
15,3,2,10461
16,0,0,6538
16,0,1,9506
16,0,2,10123
16,1,0,9146
16,1,1,9738
16,1,2,7970
16,2,0,8847
16,2,1,6951
16,2,2,8351
16,3,0,5661
16,3,1,10975
16,3,2,5724
