ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,4.36279e+06,7295,59.8946,1,20000,5.56797e+06
1,1.40482e+06,2751,15.077,1,20000,1.70911e+06
2,4.12447e+06,6967,57.9288,1,20000,5.29002e+06
3,1.16227e+06,3209,6.42933,1,20000,1.29406e+06
4,4.36692e+06,4462,37.5655,1,20000,5.12269e+06
5,2.18327e+06,3107,18.5542,1,20000,2.55746e+06
6,3.75639e+06,6246,62.7193,1,20000,5.01702e+06
7,3.88684e+06,6248,30.5208,1,20000,4.50351e+06
8,2.89033e+06,3853,24.8545,1,20000,3.39127e+06
9,3.26764e+06,6318,20.6663,1,20000,3.68728e+06
10,3.50894e+06,5856,34.1301,1,20000,4.1974e+06
11,1.78901e+06,3128,17.1783,1,20000,2.13571e+06
12,1.67344e+06,3009,27.2244,1,20000,2.22094e+06
13,2.65219e+06,5342,19.5311,1,20000,3.04816e+06
14,3.33831e+06,5493,20.8002,1,20000,3.75981e+06
15,4.45069e+06,6374,26.6876,1,20000,4.99082e+06
16,2.74247e+06,3180,31.3698,1,20000,3.37305e+06
17,2.75445e+06,6094,32.3748,1,20000,3.40804e+06
18,2.19639e+06,3890,16.2542,1,20000,2.52537e+06
19,4.48987e+06,7051,30.9055,1,20000,5.11503e+06
20,1.99785e+06,2938,24.1284,1,20000,2.48336e+06
21,2.37485e+06,4192,20.2535,1,20000,2.78411e+06
22,1.25913e+06,3084,10.7261,1,20000,1.47674e+06
23,3.52383e+06,6172,20.0223,1,20000,3.93045e+06
24,4.48688e+06,5938,34.7344,1,20000,5.18751e+06
25,3.57068e+06,6738,27.5976,1,20000,4.12937e+06
26,2.97022e+06,4321,22.884,1,20000,3.43222e+06
27,2.04684e+06,2928,27.4818,1,20000,2.59941e+06
28,3.03058e+06,5432,42.7542,1,20000,3.89109e+06
29,2.57713e+06,2976,31.5196,1,20000,3.2105e+06
