ship,k,row,intervals
0,0,9,"0"
0,1,0,"4-6"
0,2,8,"2-4"
1,0,17,"6"
1,1,12,"5"
1,2,7,"5"
2,0,14,"4-5"
2,1,1,"3-4"
2,2,16,"4-6"
3,0,13,"6"
3,1,10,"7"
3,2,1,"6"
4,0,18,"0"
4,1,12,"0"
4,2,4,"0-1"
5,0,2,"2"
5,1,17,"3"
5,2,14,"6"
6,0,13,"4-5"
6,1,7,"6-7"
6,2,13,"1-2"
7,0,2,"0-1"
7,1,9,"3-4"
7,2,19,"2-3"
8,0,18,"3"
8,1,11,"4-5"
8,2,1,"2"
9,0,12,"3-4"
9,1,16,"2-3"
9,2,5,"0-1"
10,0,15,"3-4"
10,1,2,"5-6"
10,2,4,"5-6"
11,0,5,"5"
11,1,3,"3"
11,2,2,"3"
12,0,19,"4"
12,1,15,"2"
12,2,15,"5"
13,0,17,"0"
13,1,3,"4-5"
13,2,6,"3-4"
14,0,11,"7-8"
14,1,1,"7-8"
14,2,10,"1"
15,0,11,"0-1"
15,1,7,"0-1"
15,2,0,"2-3"
16,0,18,"2"
16,1,8,"5"
16,2,10,"0"
17,0,6,"5-6"
17,1,5,"7-8"
17,2,4,"2-3"
18,0,17,"2"
18,1,14,"1"
18,2,6,"8-9"
19,0,12,"1-2"
19,1,9,"1-2"
19,2,6,"0-2"
20,0,17,"4"
20,1,12,"6"
20,2,0,"7"
21,0,7,"3-4"
21,1,16,"1"
21,2,18,"1"
22,0,11,"3"
22,1,18,"6"
22,2,8,"7"
23,0,0,"0-1"
23,1,10,"2-3"
23,2,10,"4-5"
24,0,15,"0-1"
24,1,1,"0-1"
24,2,3,"1-2"
25,0,8,"0-1"
25,1,9,"5-6"
25,2,19,"0-1"
26,0,14,"2-3"
26,1,13,"0"
26,2,5,"2"
27,0,11,"2"
27,1,7,"2"
27,2,3,"0"
28,0,18,"4-5"
28,1,3,"6-7"
28,2,17,"1"
29,0,13,"3"
29,1,14,"0"
29,2,16,"0"
