ship,k,e_sk
0,0,73.8545
0,1,82.4271
0,2,91.9466
1,0,134.254
1,1,136.751
1,2,139.193
2,0,152.726
2,1,160.012
2,2,167.262
3,0,28
3,1,30.0514
3,2,32.4044
4,0,20.5542
4,1,30.2159
4,2,40.4403
5,0,2
5,1,6.43124
5,2,12.7136
6,0,67.9949
6,1,54.5655
6,2,78.1705
7,0,138
7,1,147.713
7,2,160.809
8,0,68.3749
8,1,49
8,2,58.5961
9,0,40
9,1,46.8092
9,2,54.658
10,0,111.52
10,1,117.775
10,2,126.93
11,0,29
11,1,33.7078
11,2,39.7254
12,0,71.4818
12,1,79.5624
12,2,74.7958
13,0,48
13,1,52.929
13,2,61.3092
14,0,73
14,1,81.1845
14,2,87.232
15,0,77
15,1,86.6451
15,2,94.8912
16,0,95.7344
16,1,103.873
16,2,111.987
17,0,34.4293
17,1,43.8772
17,2,48.9111
18,0,118
18,1,122.32
18,2,130.278
19,0,149
19,1,168
19,2,158.021
20,0,138.58
20,1,135.13
20,2,143.136
21,0,122
21,1,129.7
21,2,137.41
22,0,142.077
22,1,145.625
22,2,149.35
23,0,127
23,1,133.865
23,2,140.46
24,0,61
24,1,76.7439
24,2,86.4133
25,0,1
25,1,13.8566
25,2,21.1694
26,0,2
26,1,9.85291
26,2,16.652
27,0,66.3425
27,1,54.3748
27,2,62.4172
28,0,148.128
28,1,160.729
28,2,154.811
29,0,93.8002
29,1,100.542
29,2,106.172
