ship,k,row,value
0,0,0,1039
0,0,1,916
0,0,2,990
0,0,3,1044
0,0,4,1145
0,0,5,1083
0,0,6,911
0,0,7,988
0,0,8,956
0,0,9,996
0,0,10,946
0,0,11,1115
0,0,12,1153
0,0,13,944
0,0,14,1043
0,0,15,999
0,0,16,1191
0,0,17,1094
0,0,18,1146
0,0,19,1061
0,1,0,1118
0,1,1,971
0,1,2,966
0,1,3,1197
0,1,4,1167
0,1,5,1151
0,1,6,1009
0,1,7,1181
0,1,8,911
0,1,9,1018
0,1,10,993
0,1,11,1053
0,1,12,1010
0,1,13,1103
0,1,14,1041
0,1,15,1039
0,1,16,1184
0,1,17,1159
0,1,18,1127
0,1,19,1132
0,2,0,1129
0,2,1,1085
0,2,2,978
0,2,3,1019
0,2,4,1035
0,2,5,1053
0,2,6,1089
0,2,7,1145
0,2,8,949
0,2,9,1193
0,2,10,1165
0,2,11,943
0,2,12,974
0,2,13,999
0,2,14,934
0,2,15,1009
0,2,16,1154
0,2,17,1062
0,2,18,1178
0,2,19,1028
1,0,0,1019
1,0,1,1143
1,0,2,1061
1,0,3,1151
1,0,4,1039
1,0,5,1029
1,0,6,1079
1,0,7,1112
1,0,8,1101
1,0,9,994
1,0,10,1011
1,0,11,1182
1,0,12,914
1,0,13,1162
1,0,14,993
1,0,15,986
1,0,16,934
1,0,17,1074
1,0,18,1001
1,0,19,1021
1,1,0,1149
1,1,1,978
1,1,2,1080
1,1,3,1200
1,1,4,906
1,1,5,1019
1,1,6,1119
1,1,7,996
1,1,8,1073
1,1,9,1170
1,1,10,1132
1,1,11,1174
1,1,12,1130
1,1,13,916
1,1,14,1059
1,1,15,1181
1,1,16,956
1,1,17,1091
1,1,18,1151
1,1,19,932
1,2,0,1160
1,2,1,993
1,2,2,1047
1,2,3,1063
1,2,4,1131
1,2,5,1067
1,2,6,1179
1,2,7,947
1,2,8,1156
1,2,9,912
1,2,10,1084
1,2,11,1029
1,2,12,1003
1,2,13,1152
1,2,14,1096
1,2,15,1025
1,2,16,951
1,2,17,1166
1,2,18,1055
1,2,19,1113
2,0,0,985
2,0,1,981
2,0,2,1054
2,0,3,980
2,0,4,1019
2,0,5,1079
2,0,6,1046
2,0,7,1019
2,0,8,959
2,0,9,1189
2,0,10,1052
2,0,11,1199
2,0,12,1093
2,0,13,1010
2,0,14,1058
2,0,15,974
2,0,16,1074
2,0,17,1011
2,0,18,978
2,0,19,1018
2,1,0,964
2,1,1,1168
2,1,2,1070
2,1,3,1007
2,1,4,986
2,1,5,1101
2,1,6,1069
2,1,7,1132
2,1,8,1134
2,1,9,903
2,1,10,1176
2,1,11,1041
2,1,12,1091
2,1,13,1032
2,1,14,904
2,1,15,982
2,1,16,948
2,1,17,910
2,1,18,1035
2,1,19,1143
2,2,0,930
2,2,1,1081
2,2,2,1177
2,2,3,1098
2,2,4,1013
2,2,5,955
2,2,6,1038
2,2,7,1017
2,2,8,1141
2,2,9,928
2,2,10,1091
2,2,11,1012
2,2,12,1108
2,2,13,901
2,2,14,1035
2,2,15,1089
2,2,16,1143
2,2,17,1165
2,2,18,989
2,2,19,902
3,0,0,1073
3,0,1,936
3,0,2,1080
3,0,3,932
3,0,4,1013
3,0,5,949
3,0,6,917
3,0,7,941
3,0,8,1156
3,0,9,952
3,0,10,927
3,0,11,1107
3,0,12,931
3,0,13,1084
3,0,14,1009
3,0,15,944
3,0,16,1196
3,0,17,1173
3,0,18,1007
3,0,19,1184
3,1,0,1125
3,1,1,1043
3,1,2,1157
3,1,3,1055
3,1,4,1082
3,1,5,1078
3,1,6,1054
3,1,7,1171
3,1,8,1033
3,1,9,1061
3,1,10,1173
3,1,11,976
3,1,12,1045
