ship,berth,k,value
0,0,0,10484
0,0,1,5938
0,0,2,9891
0,1,0,10425
0,1,1,5462
0,1,2,5284
0,2,0,6787
0,2,1,5767
0,2,2,10551
1,0,0,5627
1,0,1,9918
1,0,2,9775
1,1,0,5063
1,1,1,10516
1,1,2,9530
1,2,0,7707
1,2,1,10042
1,2,2,7887
2,0,0,10965
2,0,1,9077
2,0,2,10796
2,1,0,8471
2,1,1,9158
2,1,2,8015
2,2,0,5417
2,2,1,8598
2,2,2,6835
3,0,0,8954
3,0,1,10612
3,0,2,5917
3,1,0,5299
3,1,1,9424
3,1,2,9214
3,2,0,6057
3,2,1,8339
3,2,2,10843
4,0,0,6602
4,0,1,9034
4,0,2,9376
4,1,0,5844
4,1,1,10079
4,1,2,7687
4,2,0,9184
4,2,1,6591
4,2,2,7037
5,0,0,10530
5,0,1,5996
5,0,2,10839
5,1,0,8107
5,1,1,7986
5,1,2,9175
5,2,0,8211
5,2,1,5858
5,2,2,7886
