ship,k,value
0,0,1
0,1,2
0,2,2
1,0,2
1,1,2
1,2,2
2,0,1
2,1,2
2,2,1
3,0,2
3,1,2
3,2,2
4,0,1
4,1,1
4,2,1
5,0,1
5,1,1
5,2,1
6,0,1
6,1,1
6,2,1
7,0,2
7,1,1
7,2,1
8,0,3
8,1,3
8,2,1
9,0,2
9,1,2
9,2,2
10,0,2
10,1,2
10,2,2
11,0,1
11,1,2
11,2,1
12,0,1
12,1,1
12,2,1
13,0,2
13,1,2
13,2,2
14,0,1
14,1,1
14,2,1
15,0,1
15,1,1
15,2,1
16,0,1
16,1,1
16,2,1
17,0,2
17,1,2
17,2,2
18,0,2
18,1,3
18,2,4
19,0,2
19,1,3
19,2,2
20,0,1
20,1,1
20,2,1
21,0,1
21,1,1
21,2,2
22,0,2
22,1,1
22,2,2
23,0,2
23,1,2
23,2,1
24,0,2
24,1,2
24,2,3
25,0,1
25,1,1
25,2,1
26,0,1
26,1,1
26,2,2
27,0,1
27,1,1
27,2,1
28,0,2
28,1,1
28,2,1
29,0,2
29,1,1
29,2,2
30,0,1
30,1,1
30,2,1
31,0,2
31,1,3
31,2,3
32,0,2
32,1,2
32,2,1
33,0,2
33,1,3
33,2,2
34,0,1
34,1,1
34,2,2
35,0,3
35,1,1
35,2,2
36,0,1
36,1,1
36,2,2
37,0,2
37,1,2
37,2,3
38,0,1
38,1,1
38,2,1
39,0,1
39,1,2
39,2,1
40,0,3
40,1,2
40,2,3
41,0,1
41,1,1
41,2,1
42,0,1
42,1,1
42,2,1
43,0,1
43,1,1
43,2,2
44,0,2
44,1,2
44,2,1
