ship,k,value
0,0,0.701608
0,1,0.859801
0,2,0.758117
1,0,0.810855
1,1,0.716966
1,2,0.690301
2,0,0.68327
2,1,0.841802
2,2,0.685915
3,0,0.803359
3,1,0.851329
3,2,0.862893
4,0,0.869512
4,1,0.689569
4,2,0.71434
5,0,0.715994
5,1,0.869249
5,2,0.629987
6,0,0.845567
6,1,0.777044
6,2,0.776546
7,0,0.760758
7,1,0.7977
7,2,0.83235
8,0,0.661732
8,1,0.633309
8,2,0.820223
9,0,0.69165
9,1,0.706203
9,2,0.724444
10,0,0.662159
10,1,0.862722
10,2,0.858201
11,0,0.747585
11,1,0.728649
11,2,0.664758
12,0,0.71875
12,1,0.822033
12,2,0.683351
13,0,0.759257
13,1,0.689
13,2,0.748616
14,0,0.65092
14,1,0.824601
14,2,0.696334
15,0,0.786931
15,1,0.729867
15,2,0.849936
16,0,0.620869
16,1,0.866509
16,2,0.651472
17,0,0.69945
17,1,0.8162
17,2,0.668743
18,0,0.814748
18,1,0.689096
18,2,0.620953
19,0,0.734282
19,1,0.663074
19,2,0.711864
20,0,0.853948
20,1,0.709934
20,2,0.619225
21,0,0.683467
21,1,0.849989
21,2,0.662837
22,0,0.743967
22,1,0.643219
22,2,0.718506
23,0,0.829717
23,1,0.749646
23,2,0.747978
24,0,0.765077
24,1,0.723386
24,2,0.723667
25,0,0.81102
25,1,0.76149
25,2,0.798176
26,0,0.772511
26,1,0.847615
26,2,0.631457
27,0,0.808922
27,1,0.785469
27,2,0.686567
28,0,0.734768
28,1,0.819065
28,2,0.647447
29,0,0.75186
29,1,0.755205
29,2,0.669969
30,0,0.863332
30,1,0.624763
30,2,0.763081
31,0,0.858686
31,1,0.741383
31,2,0.690318
32,0,0.743525
32,1,0.644365
32,2,0.863023
33,0,0.81838
33,1,0.664739
33,2,0.781279
34,0,0.785763
34,1,0.768719
34,2,0.664597
35,0,0.772248
35,1,0.833282
35,2,0.782991
36,0,0.736698
36,1,0.652318
36,2,0.706701
37,0,0.792574
37,1,0.65935
37,2,0.696772
38,0,0.626891
38,1,0.823291
38,2,0.68414
39,0,0.728307
39,1,0.84251
39,2,0.76127
40,0,0.665074
40,1,0.870466
40,2,0.635756
41,0,0.841946
41,1,0.805313
41,2,0.862231
42,0,0.812591
42,1,0.700402
42,2,0.831176
43,0,0.737335
43,1,0.750181
43,2,0.617556
44,0,0.672767
44,1,0.666446
44,2,0.759475
