ship,k,value
0,0,0.667222
0,1,0.720263
0,2,0.652505
1,0,0.692344
1,1,0.640836
1,2,0.779657
2,0,0.75463
2,1,0.65686
2,2,0.679203
3,0,0.83112
3,1,0.747535
3,2,0.657643
4,0,0.719735
4,1,0.713018
4,2,0.808875
5,0,0.801251
5,1,0.619196
5,2,0.837607
6,0,0.658058
6,1,0.733011
6,2,0.685565
7,0,0.645929
7,1,0.713526
7,2,0.692561
8,0,0.836265
8,1,0.679105
8,2,0.755575
9,0,0.819181
9,1,0.657637
9,2,0.726072
10,0,0.826314
10,1,0.758683
10,2,0.733414
11,0,0.858984
11,1,0.774133
11,2,0.68947
12,0,0.788779
12,1,0.861966
12,2,0.770701
13,0,0.729095
13,1,0.852829
13,2,0.703047
14,0,0.840827
14,1,0.691653
14,2,0.796812
15,0,0.773629
15,1,0.675013
15,2,0.731371
16,0,0.767789
16,1,0.796736
16,2,0.834257
17,0,0.714259
17,1,0.811674
17,2,0.827011
18,0,0.826864
18,1,0.848104
18,2,0.754884
19,0,0.768719
19,1,0.642785
19,2,0.802284
20,0,0.815011
20,1,0.843357
20,2,0.767971
21,0,0.782739
21,1,0.694963
21,2,0.739877
