ship,berth,k,value
0,0,0,6504
0,0,1,7652
0,0,2,8596
0,1,0,5963
0,1,1,8248
0,1,2,9021
0,2,0,8280
0,2,1,6112
0,2,2,9463
0,3,0,10430
0,3,1,6987
0,3,2,9969
0,4,0,10447
0,4,1,8998
0,4,2,10864
1,0,0,5776
1,0,1,7220
1,0,2,6296
1,1,0,5517
1,1,1,6165
1,1,2,10877
1,2,0,8139
1,2,1,8871
1,2,2,9625
1,3,0,10173
1,3,1,6644
1,3,2,5283
1,4,0,8965
1,4,1,5391
1,4,2,10529
2,0,0,6729
2,0,1,8004
2,0,2,6923
2,1,0,5088
2,1,1,6774
2,1,2,10379
2,2,0,5697
2,2,1,6916
2,2,2,6858
2,3,0,5823
2,3,1,10301
2,3,2,6694
2,4,0,9765
2,4,1,5060
2,4,2,7630
3,0,0,9507
3,0,1,8107
3,0,2,5630
3,1,0,8581
3,1,1,6917
3,1,2,6856
3,2,0,9592
3,2,1,10123
3,2,2,5310
3,3,0,7179
3,3,1,7973
3,3,2,10477
3,4,0,10304
3,4,1,10389
3,4,2,10532
4,0,0,5514
4,0,1,7709
4,0,2,6547
4,1,0,7946
4,1,1,8974
4,1,2,8349
4,2,0,7729
4,2,1,9834
4,2,2,7863
4,3,0,7011
4,3,1,8155
4,3,2,8084
4,4,0,5790
4,4,1,10652
4,4,2,6151
5,0,0,8628
5,0,1,8939
5,0,2,9707
5,1,0,10548
5,1,1,10340
5,1,2,9544
5,2,0,10608
5,2,1,5184
5,2,2,6812
5,3,0,7285
5,3,1,10783
5,3,2,6222
5,4,0,10599
5,4,1,8052
5,4,2,9152
6,0,0,9958
6,0,1,8147
6,0,2,10791
6,1,0,7573
6,1,1,5108
6,1,2,9997
6,2,0,6083
6,2,1,5288
6,2,2,8700
6,3,0,9234
6,3,1,6202
6,3,2,10857
6,4,0,6551
6,4,1,9523
6,4,2,8206
7,0,0,6719
7,0,1,10256
7,0,2,7754
7,1,0,8363
7,1,1,7116
7,1,2,7256
7,2,0,5889
7,2,1,8980
7,2,2,9432
7,3,0,9540
7,3,1,7914
7,3,2,7166
7,4,0,8869
7,4,1,7512
7,4,2,9958
8,0,0,7700
8,0,1,5676
8,0,2,9404
8,1,0,6980
8,1,1,9504
8,1,2,7247
8,2,0,6414
8,2,1,5282
8,2,2,10238
8,3,0,5749
8,3,1,5552
8,3,2,9625
8,4,0,9772
8,4,1,8858
8,4,2,7732
9,0,0,7821
9,0,1,6153
9,0,2,7863
9,1,0,8202
9,1,1,8995
9,1,2,7229
9,2,0,9458
9,2,1,6693
9,2,2,9813
9,3,0,6620
9,3,1,5522
9,3,2,5061
9,4,0,6770
9,4,1,9252
9,4,2,9030
10,0,0,7279
10,0,1,9979
10,0,2,6981
10,1,0,10499
10,1,1,6474
10,1,2,8994
10,2,0,10086
10,2,1,8220
10,2,2,10098
10,3,0,8290
10,3,1,5872
10,3,2,6527
10,4,0,8084
10,4,1,6072
10,4,2,9671
11,0,0,7040
11,0,1,5996
11,0,2,5492
11,1,0,10128
11,1,1,9564
11,1,2,9337
11,2,0,10050
11,2,1,5957
11,2,2,7204
11,3,0,5330
11,3,1,7103
11,3,2,7502
11,4,0,6178
11,4,1,6399
11,4,2,7431
12,0,0,8557
12,0,1,7309
12,0,2,5096
12,1,0,6105
12,1,1,8469
12,1,2,6497
12,2,0,10409
12,2,1,8114
12,2,2,6505
12,3,0,6646
12,3,1,10381
12,3,2,7413
12,4,0,5901
12,4,1,7175
12,4,2,9513
13,0,0,5020
13,0,1,5008
13,0,2,7563
13,1,0,9126
13,1,1,8216
13,1,2,8795
13,2,0,6900
13,2,1,8758
13,2,2,10000
13,3,0,9837
13,3,1,5165
13,3,2,10606
13,4,0,7871
13,4,1,6147
13,4,2,6757
14,0,0,10900
14,0,1,8321
14,0,2,10106
14,1,0,6890
14,1,1,5338
14,1,2,8131
14,2,0,10901
14,2,1,8541
14,2,2,10350
14,3,0,6291
14,3,1,6315
14,3,2,5704
14,4,0,8372
14,4,1,9921
14,4,2,5288
15,0,0,7790
15,0,1,10780
15,0,2,6080
15,1,0,6364
15,1,1,6212
15,1,2,5772
15,2,0,5683
15,2,1,10028
15,2,2,5755
15,3,0,5044
15,3,1,10679
15,3,2,8888
15,4,0,5782
15,4,1,10994
15,4,2,9263
16,0,0,7363
16,0,1,6006
16,0,2,6869
16,1,0,5305
16,1,1,8883
16,1,2,5781
16,2,0,9964
16,2,1,9288
16,2,2,9765
16,3,0,9924
16,3,1,5937
16,3,2,8049
16,4,0,5585
16,4,1,8268
16,4,2,10470
17,0,0,7314
17,0,1,5675
17,0,2,5097
17,1,0,10426
17,1,1,8218
17,1,2,6738
17,2,0,7162
17,2,1,9626
17,2,2,7827
17,3,0,5814
17,3,1,8168
17,3,2,8537
17,4,0,10261
17,4,1,10651
17,4,2,6128
18,0,0,8379
18,0,1,9447
18,0,2,10805
18,1,0,9853
18,1,1,9402
18,1,2,10213
18,2,0,7863
18,2,1,5809
18,2,2,6373
18,3,0,5828
18,3,1,5698
18,3,2,7881
18,4,0,10129
18,4,1,9570
18,4,2,7315
19,0,0,5927
19,0,1,7050
19,0,2,7228
19,1,0,6811
19,1,1,5520
19,1,2,10728
19,2,0,5881
19,2,1,8002
19,2,2,7603
19,3,0,7362
19,3,1,8445
19,3,2,7909
19,4,0,5792
19,4,1,5730
19,4,2,6778
20,0,0,9218
20,0,1,6617
20,0,2,6385
20,1,0,10235
20,1,1,9516
20,1,2,6274
20,2,0,8216
