ship,berth,k,value
0,0,0,10354
0,0,1,5502
0,0,2,10541
0,1,0,7831
0,1,1,6035
0,1,2,5476
0,2,0,7078
0,2,1,9941
0,2,2,10091
1,0,0,6055
1,0,1,10326
1,0,2,6945
1,1,0,10695
1,1,1,7760
1,1,2,6397
1,2,0,6369
1,2,1,8055
1,2,2,7252
2,0,0,9986
2,0,1,10862
2,0,2,5421
2,1,0,9713
2,1,1,7461
2,1,2,9986
2,2,0,7310
2,2,1,5252
2,2,2,5872
3,0,0,9442
3,0,1,7508
3,0,2,9078
3,1,0,9121
3,1,1,8322
3,1,2,5769
3,2,0,10685
3,2,1,5403
3,2,2,8920
4,0,0,7870
4,0,1,5179
4,0,2,6111
4,1,0,5336
4,1,1,8702
4,1,2,5788
4,2,0,9058
4,2,1,6908
4,2,2,8877
5,0,0,6757
5,0,1,5980
5,0,2,8547
5,1,0,9379
5,1,1,6016
5,1,2,9141
5,2,0,6768
5,2,1,6407
5,2,2,5615
6,0,0,9958
6,0,1,7820
6,0,2,6442
6,1,0,7459
6,1,1,7753
6,1,2,8385
6,2,0,9720
6,2,1,7530
6,2,2,10382
7,0,0,9033
7,0,1,8118
7,0,2,10683
7,1,0,9458
7,1,1,8575
7,1,2,6478
7,2,0,7502
7,2,1,9989
7,2,2,10906
