ship,berth,k,value
0,0,0,5362
0,0,1,7918
0,0,2,10351
0,1,0,8530
0,1,1,6150
0,1,2,5953
0,2,0,6187
0,2,1,6457
0,2,2,9471
0,3,0,8739
0,3,1,5849
0,3,2,7014
0,4,0,7591
0,4,1,7345
0,4,2,6882
0,5,0,7311
0,5,1,5916
0,5,2,9555
1,0,0,7278
1,0,1,6022
1,0,2,7762
1,1,0,9881
1,1,1,5396
1,1,2,7242
1,2,0,7046
1,2,1,9396
1,2,2,9384
1,3,0,9805
1,3,1,7349
1,3,2,7949
1,4,0,10974
1,4,1,10201
1,4,2,7264
1,5,0,6126
1,5,1,5376
1,5,2,5079
2,0,0,6296
2,0,1,7728
2,0,2,10128
2,1,0,10415
2,1,1,5777
2,1,2,10733
2,2,0,5283
2,2,1,8696
2,2,2,9562
2,3,0,8573
2,3,1,9314
2,3,2,5108
2,4,0,9853
2,4,1,10357
2,4,2,6564
2,5,0,10053
2,5,1,6360
2,5,2,7693
3,0,0,8458
3,0,1,7571
3,0,2,8989
3,1,0,10738
3,1,1,7622
3,1,2,6173
3,2,0,5972
3,2,1,5424
3,2,2,9831
3,3,0,5051
3,3,1,10357
3,3,2,9663
3,4,0,5211
3,4,1,8242
3,4,2,7570
3,5,0,6898
3,5,1,7733
3,5,2,7760
4,0,0,6426
4,0,1,7538
4,0,2,7762
4,1,0,7627
4,1,1,10159
4,1,2,10298
4,2,0,7176
4,2,1,10528
4,2,2,5871
4,3,0,8143
4,3,1,9600
4,3,2,7733
4,4,0,9011
4,4,1,8809
4,4,2,6474
4,5,0,5090
4,5,1,6685
4,5,2,7338
5,0,0,5547
5,0,1,6410
5,0,2,10684
5,1,0,7617
5,1,1,6676
5,1,2,10250
5,2,0,8589
5,2,1,9721
5,2,2,8475
5,3,0,9370
5,3,1,8103
5,3,2,10337
5,4,0,9048
5,4,1,6707
5,4,2,8562
5,5,0,8251
5,5,1,7605
5,5,2,6994
6,0,0,5398
6,0,1,10529
6,0,2,9029
6,1,0,10226
6,1,1,6709
6,1,2,7717
6,2,0,6161
6,2,1,9476
6,2,2,5245
6,3,0,6741
6,3,1,10090
6,3,2,10341
6,4,0,8071
6,4,1,9603
6,4,2,5051
6,5,0,10026
6,5,1,5005
6,5,2,9006
7,0,0,9799
7,0,1,10277
7,0,2,8047
7,1,0,10786
7,1,1,5795
7,1,2,5651
7,2,0,7394
7,2,1,6980
7,2,2,10369
7,3,0,9342
7,3,1,10572
7,3,2,10737
7,4,0,7187
7,4,1,7498
7,4,2,10050
7,5,0,8110
7,5,1,6633
7,5,2,5940
8,0,0,6850
8,0,1,9572
8,0,2,7317
8,1,0,5039
8,1,1,6067
8,1,2,5932
8,2,0,7879
8,2,1,6821
8,2,2,8052
8,3,0,6946
8,3,1,10878
8,3,2,9327
8,4,0,6725
8,4,1,6317
8,4,2,6960
8,5,0,7366
8,5,1,6201
8,5,2,9249
9,0,0,6986
9,0,1,8415
9,0,2,7609
9,1,0,6445
9,1,1,7222
9,1,2,10398
9,2,0,8671
9,2,1,9649
9,2,2,9204
9,3,0,8541
9,3,1,10373
9,3,2,5141
9,4,0,6305
9,4,1,6537
9,4,2,9356
9,5,0,6797
9,5,1,7319
9,5,2,10581
10,0,0,7489
10,0,1,10407
10,0,2,9142
10,1,0,10566
10,1,1,5123
10,1,2,7424
10,2,0,9670
10,2,1,5055
10,2,2,8225
10,3,0,6719
10,3,1,7203
10,3,2,6374
10,4,0,6951
10,4,1,7994
10,4,2,10273
10,5,0,9792
10,5,1,6421
10,5,2,9687
11,0,0,9568
11,0,1,7181
11,0,2,8577
11,1,0,5273
11,1,1,9615
11,1,2,8073
11,2,0,5490
11,2,1,9508
11,2,2,7040
11,3,0,9583
11,3,1,5543
11,3,2,6564
11,4,0,6074
11,4,1,9704
11,4,2,8165
11,5,0,7725
11,5,1,10496
11,5,2,10371
12,0,0,10134
12,0,1,7769
12,0,2,8474
12,1,0,5604
12,1,1,9252
12,1,2,8189
12,2,0,7352
12,2,1,10869
12,2,2,6255
12,3,0,6443
12,3,1,8390
12,3,2,10454
12,4,0,8658
12,4,1,6921
12,4,2,6230
12,5,0,9938
12,5,1,9425
12,5,2,10459
13,0,0,10509
13,0,1,5086
13,0,2,6748
13,1,0,8724
13,1,1,9535
13,1,2,5055
13,2,0,5205
13,2,1,9659
13,2,2,8439
13,3,0,6535
13,3,1,5267
13,3,2,5471
13,4,0,10840
13,4,1,7737
13,4,2,9737
13,5,0,6201
13,5,1,10651
13,5,2,10582
14,0,0,8975
14,0,1,10664
14,0,2,5092
14,1,0,8987
14,1,1,6001
14,1,2,6651
