ship,k,value
0,0,4
0,1,5
0,2,2
1,0,4
1,1,3
1,2,5
2,0,4
2,1,4
2,2,5
3,0,2
3,1,2
3,2,3
4,0,4
4,1,4
4,2,4
5,0,5
5,1,4
5,2,4
6,0,4
6,1,3
6,2,3
7,0,3
7,1,3
7,2,2
8,0,5
8,1,4
8,2,3
9,0,4
9,1,2
9,2,4
10,0,2
10,1,2
10,2,3
11,0,2
11,1,2
11,2,4
12,0,4
12,1,5
12,2,5
13,0,4
13,1,3
13,2,2
14,0,4
14,1,5
14,2,2
15,0,2
15,1,3
15,2,2
16,0,2
16,1,2
16,2,5
17,0,4
17,1,5
17,2,2
18,0,4
18,1,4
18,2,5
19,0,5
19,1,2
19,2,2
20,0,3
20,1,5
20,2,4
21,0,5
21,1,2
21,2,5
22,0,3
22,1,3
22,2,3
23,0,5
23,1,5
23,2,2
24,0,4
24,1,3
24,2,3
25,0,2
25,1,2
25,2,4
26,0,3
26,1,4
26,2,2
27,0,2
27,1,4
27,2,5
28,0,3
28,1,5
28,2,3
29,0,2
29,1,4
29,2,3
30,0,3
30,1,4
30,2,2
31,0,4
31,1,4
31,2,4
32,0,4
32,1,4
32,2,3
33,0,4
33,1,5
33,2,3
34,0,4
34,1,3
34,2,2
35,0,4
35,1,3
35,2,2
36,0,3
36,1,2
36,2,5
