ship,k,value
0,0,0.81215
0,1,0.731881
0,2,0.861966
1,0,0.787631
1,1,0.644585
1,2,0.617559
2,0,0.691334
2,1,0.720246
2,2,0.852812
3,0,0.629499
3,1,0.778954
3,2,0.660166
4,0,0.698736
4,1,0.630798
4,2,0.797518
5,0,0.760551
5,1,0.672836
5,2,0.670842
6,0,0.658886
6,1,0.803016
6,2,0.654108
7,0,0.663035
7,1,0.75597
7,2,0.81152
8,0,0.784521
8,1,0.666141
8,2,0.720742
9,0,0.677937
9,1,0.852404
9,2,0.618241
10,0,0.660902
10,1,0.625014
10,2,0.80718
11,0,0.649304
11,1,0.681433
11,2,0.718258
12,0,0.646099
12,1,0.721226
12,2,0.784372
13,0,0.830953
13,1,0.693857
13,2,0.716125
14,0,0.862474
14,1,0.82437
14,2,0.701817
15,0,0.632065
15,1,0.76798
15,2,0.739765
16,0,0.859635
16,1,0.802107
16,2,0.861291
17,0,0.83411
17,1,0.776945
17,2,0.656609
18,0,0.841506
18,1,0.828665
18,2,0.79996
19,0,0.657306
19,1,0.792325
19,2,0.627287
20,0,0.747476
20,1,0.856512
20,2,0.799663
21,0,0.657341
21,1,0.816225
21,2,0.75342
22,0,0.853913
22,1,0.86499
22,2,0.785751
23,0,0.790995
23,1,0.77586
23,2,0.719096
24,0,0.845732
24,1,0.804708
24,2,0.668976
25,0,0.735926
25,1,0.632668
25,2,0.851257
26,0,0.840732
26,1,0.708236
26,2,0.811473
27,0,0.708306
27,1,0.864337
27,2,0.854279
28,0,0.838297
28,1,0.863228
28,2,0.703724
29,0,0.70155
29,1,0.733483
29,2,0.86971
30,0,0.647486
30,1,0.719674
30,2,0.796113
31,0,0.760177
31,1,0.747837
31,2,0.734577
32,0,0.819846
32,1,0.759593
32,2,0.835932
33,0,0.682248
33,1,0.825996
33,2,0.862456
34,0,0.796371
34,1,0.726896
34,2,0.776777
35,0,0.824077
35,1,0.766203
35,2,0.703814
36,0,0.699972
36,1,0.790641
36,2,0.819236
