ship,k,row,intervals
0,0,5,"2-3"
0,1,4,"2-3"
0,2,2,"3-4"
1,0,10,"0"
1,1,13,"7-8"
1,2,15,"0"
2,0,18,"1"
2,1,6,"7-8"
2,2,1,"5-6"
3,0,12,"1-2"
3,1,3,"4-6"
3,2,9,"3-4"
4,0,15,"4-5"
4,1,17,"3-4"
4,2,2,"5-6"
5,0,9,"5"
5,1,2,"7"
5,2,11,"4"
6,0,2,"0"
6,1,12,"4-5"
6,2,3,"1"
7,0,4,"6-7"
7,1,0,"0-1"
7,2,6,"3-4"
8,0,18,"3-4"
8,1,10,"3-5"
8,2,19,"1-2"
9,0,14,"6"
9,1,13,"3"
9,2,15,"6-7"
10,0,8,"4"
10,1,7,"4"
10,2,15,"3"
11,0,5,"6-7"
11,1,18,"2"
11,2,1,"2"
12,0,8,"1"
12,1,16,"5-6"
12,2,9,"2"
13,0,0,"5-6"
13,1,16,"1-2"
13,2,11,"0-2"
14,0,8,"5-7"
14,1,10,"1-2"
14,2,13,"0"
15,0,14,"0"
15,1,7,"5-6"
15,2,6,"5-6"
16,0,19,"4-5"
16,1,9,"1"
16,2,0,"7-8"
17,0,11,"6"
17,1,9,"6"
17,2,1,"4"
18,0,4,"5"
18,1,18,"5"
18,2,6,"2"
19,0,17,"0-1"
19,1,7,"2-3"
19,2,14,"1-3"
20,0,16,"3-4"
20,1,5,"4-5"
20,2,1,"0-1"
21,0,0,"4"
21,1,11,"8"
21,2,17,"5"
22,0,3,"2"
22,1,12,"3"
22,2,4,"4"
23,0,0,"2-3"
23,1,3,"0"
23,2,17,"6-7"
24,0,13,"4"
24,1,14,"7-8"
24,2,19,"3"
25,0,2,"1-2"
25,1,7,"0-1"
25,2,4,"8-10"
26,0,8,"0"
26,1,12,"0"
26,2,9,"7-8"
27,0,4,"0-1"
27,1,5,"0-1"
27,2,13,"1-2"
28,0,19,"0"
28,1,16,"0"
28,2,8,"2-3"
29,0,19,"6-7"
29,1,6,"0"
29,2,9,"0"
30,0,10,"6-7"
30,1,15,"1-2"
30,2,18,"6-7"
31,0,14,"4"
31,1,1,"3"
31,2,13,"5"
32,0,3,"3"
32,1,17,"2"
32,2,11,"3"
33,0,3,"7"
33,1,11,"7"
33,2,11,"5"
34,0,18,"0"
34,1,16,"7-8"
34,2,6,"1"
