ship,k,e_sk
0,0,118.677
0,1,127.226
0,2,134.62
1,0,105
1,1,112.392
1,2,116.869
2,0,41
2,1,47.592
2,2,54.0326
3,0,166.296
3,1,174.42
3,2,187.423
4,0,95
4,1,102.29
4,2,111.225
5,0,62
5,1,65.8331
5,2,69.1504
6,0,83
6,1,90.0812
6,2,100.714
7,0,8
7,1,21.2364
7,2,28.9736
8,0,163.953
8,1,173.675
8,2,188.039
9,0,120
9,1,128.403
9,2,124.283
10,0,74
10,1,79.191
10,2,83.4234
11,0,30
11,1,36.1225
11,2,41.8206
12,0,134
12,1,140.319
12,2,150.738
13,0,136.706
13,1,145.548
13,2,157.25
14,0,17
14,1,25.1139
14,2,37.2711
15,0,165
15,1,174.847
15,2,180.397
16,0,114
16,1,120.485
16,2,130.848
17,0,79
17,1,82.1822
17,2,86.0705
18,0,165.446
18,1,170.747
18,2,173.692
19,0,127
19,1,139.346
19,2,148.506
20,0,6
20,1,18.7891
20,2,27.8488
21,0,8
21,1,11.2737
21,2,15.4162
22,0,150
22,1,153.004
22,2,156.39
23,0,48
23,1,57.0519
23,2,64.899
24,0,18.9768
24,1,24.9226
24,2,28.7186
25,0,0
25,1,8.87565
25,2,20.8081
26,0,32.547
26,1,41.3622
26,2,46.0855
27,0,153.45
27,1,163.974
27,2,177.347
28,0,88
28,1,95.3525
28,2,104.893
29,0,130.189
29,1,140.512
29,2,147.123
30,0,111
30,1,117.746
30,2,123.557
31,0,165.245
31,1,173.163
31,2,177.988
32,0,132.951
32,1,140.013
32,2,144.961
33,0,121.359
33,1,124.154
33,2,129.892
34,0,142.356
34,1,150.736
34,2,156.202
