ship,k,row,intervals
0,0,15,"2-3"
0,1,1,"1-2"
0,2,0,"1"
1,0,16,"0"
1,1,14,"4-5"
1,2,2,"4-5"
2,0,19,"3-4"
2,1,6,"1"
2,2,6,"6-7"
3,0,0,"2"
3,1,6,"0"
3,2,12,"3"
4,0,7,"0-1"
4,1,9,"0"
4,2,2,"1-2"
5,0,14,"3"
5,1,18,"1"
5,2,10,"0"
6,0,4,"1-3"
6,1,13,"0-2"
6,2,12,"1-2"
7,0,6,"3"
7,1,15,"1"
7,2,2,"3"
8,0,10,"5"
8,1,1,"3"
8,2,11,"5-6"
9,0,3,"1-2"
9,1,17,"3-4"
9,2,5,"1-2"
10,0,19,"0"
10,1,16,"4"
10,2,1,"0"
11,0,14,"0"
11,1,15,"0"
11,2,16,"1-2"
12,0,11,"0-1"
12,1,3,"6-8"
12,2,5,"4-6"
13,0,18,"3"
13,1,4,"4"
13,2,6,"5"
14,0,3,"3-5"
14,1,8,"1-2"
14,2,17,"0-1"
15,0,12,"4-5"
15,1,0,"3"
15,2,3,"0"
16,0,13,"4-5"
16,1,14,"2"
16,2,0,"4-5"
17,0,12,"0"
17,1,11,"2-3"
17,2,5,"0"
18,0,19,"7-8"
18,1,8,"0"
18,2,5,"3"
19,0,9,"5-6"
19,1,2,"0"
19,2,8,"3-4"
20,0,17,"5-6"
20,1,17,"2"
20,2,6,"2"
21,0,7,"2-4"
21,1,10,"1-3"
21,2,9,"3-4"
22,0,4,"5"
22,1,2,"6"
22,2,11,"4"
23,0,0,"0"
23,1,18,"0"
23,2,10,"6-7"
24,0,1,"4-5"
24,1,9,"1"
24,2,14,"1"
