ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,3.48735e+06,5030,26.2672,1,20000,4.01772e+06
1,2.63858e+06,5585,21.4429,1,20000,3.07302e+06
2,2.98307e+06,4867,25.1553,1,20000,3.49104e+06
3,1.43874e+06,2943,14.8455,1,20000,1.73859e+06
4,4.56177e+06,4720,91.4555,1,20000,6.3956e+06
5,1.62977e+06,2802,11.3629,1,20000,1.85983e+06
6,4.35833e+06,8312,33.6012,1,20000,5.03866e+06
7,1.59035e+06,2730,11.9684,1,20000,1.83245e+06
8,2.02648e+06,4143,13.9546,1,20000,2.30972e+06
9,4.80184e+06,6226,32.3486,1,20000,5.45504e+06
10,1.67345e+06,2993,14.379,1,20000,1.96402e+06
11,2.7976e+06,3727,22.1394,1,20000,3.24412e+06
12,3.76973e+06,8390,25.2679,1,20000,4.28348e+06
13,1.4404e+06,2837,10.1325,1,20000,1.64589e+06
14,4.36357e+06,6845,30.4975,1,20000,4.98036e+06
15,1.95271e+06,3912,11.7516,1,20000,2.19165e+06
16,2.52226e+06,4745,20.3382,1,20000,2.93377e+06
17,2.4432e+06,4046,32.3324,1,20000,3.0939e+06
18,1.72876e+06,4045,14.7965,1,20000,2.02874e+06
19,2.12243e+06,4999,14.2302,1,20000,2.41204e+06
20,2.12171e+06,4353,15.1805,1,20000,2.42967e+06
21,3.38742e+06,8036,25.9642,1,20000,3.91474e+06
22,1.42914e+06,2980,10.8332,1,20000,1.64878e+06
23,1.77743e+06,3954,57.4217,1,20000,2.92981e+06
24,2.32174e+06,4130,23.7593,1,20000,2.80106e+06
