ship,k,e_sk
0,0,90.4284
0,1,82.2375
0,2,75.7516
1,0,113
1,1,119.188
1,2,124.524
2,0,28.5412
2,1,19.2211
2,2,10
3,0,42.7194
3,1,38.6938
3,2,33
4,0,148.675
4,1,124.139
4,2,136.779
5,0,46
5,1,49.1624
5,2,53.3688
6,0,49
6,1,62.4058
6,2,72.2091
7,0,101.245
7,1,93
7,2,98.1628
8,0,44
8,1,53.7895
8,2,48.5956
9,0,72
9,1,81.4738
9,2,91.3316
10,0,132
10,1,135.588
10,2,168
11,0,102
11,1,109.312
11,2,117.949
12,0,99
12,1,105.802
12,2,113.025
13,0,121.422
13,1,127.215
13,2,124.61
14,0,168
14,1,115
14,2,127.541
15,0,64
15,1,71.9649
15,2,67.5136
16,0,7
16,1,12.8326
16,2,18.1079
17,0,168
17,1,57.9546
17,2,66.6508
18,0,39
18,1,42.4424
18,2,47.9686
19,0,31.4614
19,1,27.0816
19,2,23
20,0,83
20,1,86.8669
20,2,93.3083
21,0,130.132
21,1,141.221
21,2,147.579
22,0,102
22,1,107.699
22,2,104.564
23,0,104.968
23,1,110.983
23,2,115.477
24,0,21.4019
24,1,30.275
24,2,12
