ship,k,value
0,0,0.830355
0,1,0.765229
0,2,0.85347
1,0,0.765379
1,1,0.656984
1,2,0.850763
2,0,0.862126
2,1,0.637597
2,2,0.83668
3,0,0.807879
3,1,0.805822
3,2,0.745212
4,0,0.863451
4,1,0.720975
4,2,0.678291
5,0,0.725645
5,1,0.802465
5,2,0.818437
6,0,0.834735
6,1,0.643401
6,2,0.670031
7,0,0.656893
7,1,0.786166
7,2,0.77231
8,0,0.611732
8,1,0.742097
8,2,0.787003
9,0,0.656296
9,1,0.830899
9,2,0.724441
10,0,0.785157
10,1,0.8544
10,2,0.723487
11,0,0.785778
11,1,0.686654
11,2,0.729197
12,0,0.667706
12,1,0.690425
12,2,0.636231
13,0,0.653501
13,1,0.756827
13,2,0.703525
14,0,0.842493
14,1,0.751832
14,2,0.745982
15,0,0.862558
15,1,0.84177
15,2,0.652569
16,0,0.765692
16,1,0.784282
16,2,0.73595
17,0,0.669179
17,1,0.840138
17,2,0.765357
18,0,0.760522
18,1,0.659316
18,2,0.697195
