ship,k,row,slot
0,0,2,6
0,1,17,6
0,2,9,2
1,0,4,6
1,0,4,7
1,0,4,8
1,1,4,3
1,1,4,4
1,2,17,14
1,2,17,15
1,2,17,16
2,0,9,16
2,0,9,17
2,1,18,8
2,1,18,9
2,2,11,6
3,0,17,4
3,1,13,4
3,1,13,5
3,2,4,1
4,0,11,2
4,0,11,3
4,1,12,4
4,1,12,5
4,2,15,4
4,2,15,5
5,0,12,7
5,1,15,7
5,2,3,3
5,2,3,4
6,0,4,0
6,1,14,3
6,2,4,2
7,0,4,5
7,1,5,6
7,2,1,5
8,0,10,7
8,1,10,17
8,1,10,18
8,2,17,0
9,0,11,10
9,1,11,8
9,2,15,8
10,0,10,0
10,0,10,1
10,1,15,20
10,1,15,21
10,2,3,5
10,2,3,6
11,0,17,2
11,0,17,3
11,1,16,3
11,2,19,3
12,0,18,6
12,0,18,7
12,1,14,4
12,1,14,5
12,2,13,3
13,0,13,9
13,1,14,8
13,2,16,8
14,0,2,1
14,0,2,2
14,1,9,0
14,1,9,1
14,2,15,0
14,2,15,1
15,0,3,11
15,0,3,12
15,1,0,3
15,2,10,6
16,0,8,11
16,1,11,4
16,2,7,6
17,0,1,9
17,0,1,10
17,1,2,5
17,2,11,7
18,0,5,3
18,0,5,4
18,1,0,13
18,1,0,14
18,1,0,15
18,2,1,0
19,0,14,6
19,0,14,7
19,1,5,0
19,2,10,3
20,0,7,2
20,0,7,3
20,1,1,1
20,1,1,2
20,2,8,1
20,2,8,2
21,0,8,4
21,0,8,5
21,1,7,0
21,1,7,1
21,2,13,2
22,0,6,4
22,0,6,5
22,1,19,22
22,1,19,23
22,2,1,3
22,2,1,4
23,0,10,2
23,1,0,4
23,1,0,5
23,1,0,6
23,2,0,7
23,2,0,8
23,2,0,9
24,0,3,1
24,0,3,2
24,1,18,2
24,1,18,3
24,2,12,0
24,2,12,1
25,0,16,5
25,1,15,17
25,1,15,18
25,2,12,3
26,0,8,3
26,1,10,4
26,1,10,5
26,2,2,7
26,2,2,8
27,0,2,0
27,1,4,10
27,1,4,11
27,2,15,2
27,2,15,3
28,0,5,2
28,1,12,2
28,2,18,4
28,2,18,5
29,0,0,0
29,0,0,1
29,0,0,2
29,1,0,17
29,1,0,18
29,2,12,21
29,2,12,22
29,2,12,23
30,0,16,1
30,0,16,2
30,1,11,1
30,2,19,2
31,0,11,0
31,1,1,6
31,1,1,7
31,2,2,4
32,0,5,15
32,0,5,16
32,1,11,9
32,2,15,6
33,0,19,0
33,0,19,1
33,1,3,0
33,2,9,4
33,2,9,5
34,0,6,9
34,0,6,10
34,1,16,6
34,1,16,7
34,2,18,0
34,2,18,1
35,0,19,5
35,1,16,0
35,2,6,6
35,2,6,7
36,0,5,1
36,1,3,7
36,1,3,8
36,2,12,17
36,2,12,18
36,2,12,19
37,0,7,9
37,0,7,10
37,1,14,15
37,1,14,16
37,2,2,13
37,2,2,14
38,0,16,15
38,0,16,16
38,1,17,22
38,1,17,23
38,2,19,6
38,2,19,7
39,0,8,8
39,1,13,6
39,2,14,0
39,2,14,1
40,0,12,10
40,1,19,4
40,2,9,6
41,0,6,2
41,0,6,3
41,1,10,8
41,1,10,9
41,1,10,10
41,2,9,8
41,2,9,9
42,0,5,5
42,1,12,8
42,2,14,2
43,0,17,5
43,1,17,1
43,2,13,0
43,2,13,1
44,0,8,0
44,1,16,4
44,2,9,3
45,0,2,11
45,0,2,12
45,1,13,7
45,1,13,8
45,2,4,13
45,2,4,14
46,0,6,0
46,0,6,1
46,1,17,10
46,1,17,11
46,2,19,16
46,2,19,17
47,0,19,19
47,0,19,20
47,1,11,12
47,1,11,13
47,2,7,7
47,2,7,8
48,0,11,5
48,1,9,7
48,2,2,3
49,0,5,7
49,1,7,4
49,2,8,6
