ship,k,row,intervals
0,0,2,"6"
0,1,17,"6"
0,2,9,"2"
1,0,4,"6-8"
1,1,4,"3-4"
1,2,17,"14-16"
2,0,9,"16-17"
2,1,18,"8-9"
2,2,11,"6"
3,0,17,"4"
3,1,13,"4-5"
3,2,4,"1"
4,0,11,"2-3"
4,1,12,"4-5"
4,2,15,"4-5"
5,0,12,"7"
5,1,15,"7"
5,2,3,"3-4"
6,0,4,"0"
6,1,14,"3"
6,2,4,"2"
7,0,4,"5"
7,1,5,"6"
7,2,1,"5"
8,0,10,"7"
8,1,10,"17-18"
8,2,17,"0"
9,0,11,"10"
9,1,11,"8"
9,2,15,"8"
10,0,10,"0-1"
10,1,15,"20-21"
10,2,3,"5-6"
11,0,17,"2-3"
11,1,16,"3"
11,2,19,"3"
12,0,18,"6-7"
12,1,14,"4-5"
12,2,13,"3"
13,0,13,"9"
13,1,14,"8"
13,2,16,"8"
14,0,2,"1-2"
14,1,9,"0-1"
14,2,15,"0-1"
15,0,3,"11-12"
15,1,0,"3"
15,2,10,"6"
16,0,8,"11"
16,1,11,"4"
16,2,7,"6"
17,0,1,"9-10"
17,1,2,"5"
17,2,11,"7"
18,0,5,"3-4"
18,1,0,"13-15"
18,2,1,"0"
19,0,14,"6-7"
19,1,5,"0"
19,2,10,"3"
20,0,7,"2-3"
20,1,1,"1-2"
20,2,8,"1-2"
21,0,8,"4-5"
21,1,7,"0-1"
21,2,13,"2"
22,0,6,"4-5"
22,1,19,"22-23"
22,2,1,"3-4"
23,0,10,"2"
23,1,0,"4-6"
23,2,0,"7-9"
24,0,3,"1-2"
24,1,18,"2-3"
24,2,12,"0-1"
25,0,16,"5"
25,1,15,"17-18"
25,2,12,"3"
26,0,8,"3"
26,1,10,"4-5"
26,2,2,"7-8"
27,0,2,"0"
27,1,4,"10-11"
27,2,15,"2-3"
28,0,5,"2"
28,1,12,"2"
28,2,18,"4-5"
29,0,0,"0-2"
29,1,0,"17-18"
29,2,12,"21-23"
30,0,16,"1-2"
30,1,11,"1"
30,2,19,"2"
31,0,11,"0"
31,1,1,"6-7"
31,2,2,"4"
32,0,5,"15-16"
32,1,11,"9"
32,2,15,"6"
33,0,19,"0-1"
33,1,3,"0"
33,2,9,"4-5"
34,0,6,"9-10"
34,1,16,"6-7"
34,2,18,"0-1"
35,0,19,"5"
35,1,16,"0"
35,2,6,"6-7"
36,0,5,"1"
36,1,3,"7-8"
36,2,12,"17-19"
37,0,7,"9-10"
37,1,14,"15-16"
37,2,2,"13-14"
38,0,16,"15-16"
38,1,17,"22-23"
38,2,19,"6-7"
39,0,8,"8"
39,1,13,"6"
39,2,14,"0-1"
40,0,12,"10"
40,1,19,"4"
40,2,9,"6"
41,0,6,"2-3"
41,1,10,"8-10"
41,2,9,"8-9"
42,0,5,"5"
42,1,12,"8"
42,2,14,"2"
43,0,17,"5"
43,1,17,"1"
43,2,13,"0-1"
44,0,8,"0"
44,1,16,"4"
44,2,9,"3"
45,0,2,"11-12"
45,1,13,"7-8"
45,2,4,"13-14"
46,0,6,"0-1"
46,1,17,"10-11"
46,2,19,"16-17"
47,0,19,"19-20"
47,1,11,"12-13"
47,2,7,"7-8"
48,0,11,"5"
48,1,9,"7"
48,2,2,"3"
49,0,5,"7"
49,1,7,"4"
49,2,8,"6"
