ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,2.07837e+06,3060,27.9197,1,20000,2.63982e+06
1,5.86287e+06,8332,79.7399,1,20000,7.466e+06
2,4.24309e+06,4814,33.21,1,20000,4.9121e+06
3,2.44434e+06,3835,17.0229,1,20000,2.78863e+06
4,4.68514e+06,6448,37.718,1,20000,5.44594e+06
5,2.04083e+06,4657,128.373,1,20000,4.61295e+06
6,2.12112e+06,3033,97.7339,1,20000,4.07883e+06
7,1.43721e+06,2971,45.3183,1,20000,2.34655e+06
8,3.04378e+06,3811,65.0882,1,20000,4.34935e+06
9,1.29014e+06,3405,37.2496,1,20000,2.03854e+06
10,2.79573e+06,6510,18.0941,1,20000,3.16413e+06
11,2.21124e+06,3986,30.1192,1,20000,2.81761e+06
12,2.9124e+06,5148,18.566,1,20000,3.28887e+06
13,1.44599e+06,2795,12.6468,1,20000,1.70172e+06
14,5.54298e+06,6340,59.0961,1,20000,6.73125e+06
15,2.24482e+06,4368,14.2101,1,20000,2.53339e+06
16,1.56084e+06,2857,9.86819,1,20000,1.76106e+06
17,2.17533e+06,3663,24.1698,1,20000,2.66239e+06
18,5.16548e+06,5700,27.5672,1,20000,5.72252e+06
19,4.01539e+06,4171,27.56,1,20000,4.57076e+06
20,5.06289e+06,6344,42.0073,1,20000,5.90938e+06
21,4.41617e+06,4977,52.6834,1,20000,5.47482e+06
22,6.47425e+06,6338,43.0529,1,20000,7.34164e+06
23,5.1328e+06,7857,58.832,1,20000,6.3173e+06
24,3.71862e+06,6662,23.0932,1,20000,4.18715e+06
25,2.24329e+06,3881,13.3071,1,20000,2.51331e+06
26,2.22127e+06,5264,13.2447,1,20000,2.49143e+06
27,4.49928e+06,5194,35.0376,1,20000,5.20523e+06
28,3.1499e+06,4348,27.0667,1,20000,3.69558e+06
29,5.26758e+06,8336,31.4606,1,20000,5.90513e+06
30,2.83941e+06,3860,47.8538,1,20000,3.80035e+06
31,3.46022e+06,3942,73.8276,1,20000,4.94071e+06
32,2.4429e+06,3907,31.5668,1,20000,3.07814e+06
33,2.17705e+06,5391,19.7797,1,20000,2.57804e+06
34,5.61885e+06,6430,36.6029,1,20000,6.35734e+06
35,3.78159e+06,3962,37.8922,1,20000,4.54339e+06
36,6.15713e+06,5899,159.561,1,20000,9.35426e+06
37,4.83854e+06,6186,58.8907,1,20000,6.02254e+06
38,4.30185e+06,5864,24.6795,1,20000,4.8013e+06
39,1.6121e+06,4013,52.415,1,20000,2.66441e+06
40,1.37129e+06,3015,8.20785,1,20000,1.53846e+06
41,4.70102e+06,7667,21.2302,1,20000,5.1333e+06
42,1.13272e+06,3057,16.4111,1,20000,1.464e+06
43,2.31203e+06,4049,25.7361,1,20000,2.83081e+06
44,1.71533e+06,2900,54.577,1,20000,2.80977e+06
45,4.30848e+06,5856,20.2441,1,20000,4.71922e+06
46,4.80477e+06,6638,35.749,1,20000,5.52639e+06
47,7.16388e+06,6110,55.6556,1,20000,8.2831e+06
48,1.51173e+06,3093,63.5119,1,20000,2.78506e+06
49,1.67892e+06,3361,9.90044,1,20000,1.88029e+06
