ship,k,e_sk
0,0,68.1192
0,1,71.8225
0,2,78.336
1,0,83.8922
1,1,93.7379
1,2,102.089
2,0,150.828
2,1,158.796
2,2,169.679
3,0,8
3,1,13.1242
3,2,20.9114
4,0,126.512
4,1,138.958
4,2,147.372
5,0,144.088
5,1,147.389
5,2,153.494
6,0,143.094
6,1,151.606
6,2,158.456
7,0,115.053
7,1,120.249
7,2,123.305
8,0,119.307
8,1,129.16
8,2,138.546
9,0,158.17
9,1,161.438
9,2,163.883
10,0,126.318
10,1,132.338
10,2,136.864
11,0,51.2101
11,1,56.675
11,2,62.3832
12,0,108
12,1,113.2
12,2,118.813
13,0,114
13,1,117.832
13,2,122.779
14,0,67.56
14,1,95.6718
14,2,86.8354
15,0,37
15,1,42.437
15,2,47.1117
16,0,98
16,1,100.924
16,2,104.998
17,0,144.736
17,1,148.605
17,2,153.903
18,0,31
18,1,40.1327
18,2,48.9664
19,0,40
19,1,48.5914
19,2,56.0264
20,0,70
20,1,85.0351
20,2,100.574
21,0,157.718
21,1,170.416
21,2,180.848
22,0,78.2447
22,1,87.1785
22,2,98.0077
23,0,68.577
23,1,86.0895
23,2,95.6626
24,0,49
24,1,57.4122
24,2,64.0979
25,0,106.096
25,1,110.903
25,2,114.743
26,0,65
26,1,69.6263
26,2,73.7114
27,0,152.891
27,1,160.334
27,2,168.217
28,0,30
28,1,37.0523
28,2,45.5129
29,0,167.25
29,1,178.095
29,2,186.963
30,0,100.78
30,1,107.317
30,2,115.207
31,0,125.415
31,1,132.056
31,2,140.619
32,0,81.9197
32,1,86.8972
32,2,93.56
33,0,84.749
33,1,91.2303
33,2,96.2812
34,0,87
34,1,103.402
34,2,113.757
35,0,58.5672
35,1,68.5855
35,2,76.7943
36,0,162.734
36,1,175.797
36,2,189.528
37,0,120.854
37,1,140.669
37,2,134.007
38,0,32
38,1,41.7801
38,2,49.5496
39,0,112.007
39,1,115.609
39,2,119.642
40,0,17
40,1,19.6838
40,2,22.6895
41,0,158
41,1,165.175
41,2,172.219
42,0,57.0667
42,1,58.9399
42,2,62.1155
43,0,126.647
43,1,133.464
43,2,140.187
44,0,56.6795
44,1,61.6212
44,2,64.8257
45,0,33
45,1,39.8134
45,2,46.0278
46,0,53.2441
46,1,60.4716
46,2,74.6654
47,0,123.603
47,1,134.82
47,2,145.375
48,0,115.74
48,1,120.293
48,2,123.36
49,0,17
49,1,21.2426
49,2,24.129
