ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,4.21468e+06,5890,49.6372,1,20000,5.21332e+06
1,4.17949e+06,5013,56.8779,1,20000,5.32206e+06
2,1.11976e+06,2971,8.93936,1,20000,1.30152e+06
3,1.96693e+06,2877,12.2789,1,20000,2.21539e+06
4,2.75534e+06,4096,19.5784,1,20000,3.15101e+06
5,4.30988e+06,5512,27.2854,1,20000,4.8611e+06
6,2.61554e+06,4987,17.6801,1,20000,2.97413e+06
7,3.42681e+06,5488,32.3484,1,20000,4.07927e+06
8,4.19187e+06,6166,61.4052,1,20000,5.42614e+06
9,3.88729e+06,4979,27.484,1,20000,4.44195e+06
10,2.32841e+06,4148,15.1208,1,20000,2.63497e+06
11,4.72698e+06,6410,40.1318,1,20000,5.53603e+06
12,3.98292e+06,5215,32.975,1,20000,4.64763e+06
13,4.53274e+06,6020,30.5123,1,20000,5.149e+06
14,3.60962e+06,6484,23.3334,1,20000,4.08277e+06
15,4.82915e+06,7853,64.3423,1,20000,6.12385e+06
16,3.97651e+06,5822,36.9132,1,20000,4.72059e+06
17,2.70789e+06,4105,20.1053,1,20000,3.1141e+06
18,3.46719e+06,4117,22.9222,1,20000,3.92975e+06
19,2.61891e+06,4920,37.325,1,20000,3.37033e+06
20,4.59371e+06,5766,29.6718,1,20000,5.19291e+06
21,4.70165e+06,7518,28.638,1,20000,5.28193e+06
