ship,k,row,slot
0,0,17,3
0,1,7,2
0,2,10,3
1,0,8,0
1,0,8,1
1,1,1,3
1,1,1,4
1,2,13,0
2,0,2,2
2,1,5,1
2,2,0,0
2,2,0,1
3,0,9,0
3,0,9,1
3,1,3,1
3,1,3,2
3,1,3,3
3,2,4,0
3,2,4,1
4,0,18,0
4,1,3,0
4,2,4,2
4,2,4,3
5,0,8,3
5,0,8,4
5,1,1,0
5,2,13,2
6,0,5,2
6,1,7,3
6,2,14,3
7,0,18,1
7,1,19,0
7,2,2,0
7,2,2,1
8,0,17,0
8,0,17,1
8,1,16,0
8,1,16,1
8,2,6,2
8,2,6,3
9,0,5,0
9,1,8,2
9,2,6,0
10,0,12,1
10,1,17,2
10,2,0,4
11,0,11,1
11,0,11,2
11,1,19,1
11,1,19,2
11,2,7,4
11,2,7,5
11,2,7,6
12,0,2,4
12,1,11,4
12,2,3,4
13,0,1,1
13,1,13,1
13,2,7,0
14,0,7,1
14,1,5,3
14,2,15,0
15,0,14,0
15,1,10,0
15,1,10,1
15,2,13,4
15,2,13,5
15,2,13,6
16,0,16,3
16,1,13,3
16,2,0,3
17,0,16,4
17,1,12,4
17,2,18,2
18,0,0,2
18,1,10,4
18,1,10,5
18,2,17,4
18,2,17,5
