ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,1.96947e+06,2931,17.7431,1,20000,2.32727e+06
1,3.42942e+06,5120,23.6826,1,20000,3.9082e+06
2,2.35116e+06,3942,19.3063,1,20000,2.74123e+06
3,4.30583e+06,6714,28.9203,1,20000,4.89095e+06
4,2.15334e+06,4015,17.8523,1,20000,2.5144e+06
5,3.3499e+06,3777,25.6905,1,20000,3.86749e+06
6,1.54937e+06,2887,10.2785,1,20000,1.75782e+06
7,2.25557e+06,3995,15.2728,1,20000,2.56502e+06
8,3.31515e+06,5742,27.0068,1,20000,3.86102e+06
9,1.83632e+06,2949,12.9028,1,20000,2.09733e+06
10,1.01386e+06,2991,6.96493,1,20000,1.15615e+06
11,4.19461e+06,7017,36.1023,1,20000,4.92368e+06
12,1.11586e+06,2859,9.00163,1,20000,1.29875e+06
13,2.38016e+06,2789,15.7,1,20000,2.69695e+06
14,1.38113e+06,3077,9.77538,1,20000,1.57972e+06
15,3.7026e+06,5801,27.1872,1,20000,4.25215e+06
16,1.1058e+06,2799,9.19802,1,20000,1.29256e+06
17,1.58498e+06,2887,12.4978,1,20000,1.83782e+06
18,2.33458e+06,4723,16.9069,1,20000,2.67744e+06
