ship,k,row,value
0,0,0,1158
0,0,1,1014
0,0,2,965
0,0,3,1185
0,0,4,910
0,0,5,1189
0,0,6,986
0,0,7,1143
0,0,8,983
0,0,9,1152
0,0,10,1032
0,0,11,1144
0,0,12,1098
0,0,13,950
0,0,14,948
0,0,15,959
0,0,16,1053
0,0,17,1104
0,0,18,1192
0,0,19,1160
0,1,0,925
0,1,1,953
0,1,2,921
0,1,3,1013
0,1,4,968
0,1,5,981
0,1,6,1092
0,1,7,1121
0,1,8,1031
0,1,9,909
0,1,10,1038
0,1,11,1136
0,1,12,1067
0,1,13,1149
0,1,14,912
0,1,15,1126
0,1,16,1039
0,1,17,983
0,1,18,959
0,1,19,1191
0,2,0,900
0,2,1,916
0,2,2,910
0,2,3,1072
0,2,4,1042
0,2,5,1005
0,2,6,1074
0,2,7,1137
0,2,8,1154
0,2,9,957
0,2,10,1099
0,2,11,1011
0,2,12,1189
0,2,13,959
0,2,14,1077
0,2,15,1079
0,2,16,1052
0,2,17,1191
0,2,18,962
0,2,19,1179
1,0,0,1072
1,0,1,915
1,0,2,1195
1,0,3,1143
1,0,4,937
1,0,5,1144
1,0,6,1063
1,0,7,959
1,0,8,1139
1,0,9,1045
1,0,10,1135
1,0,11,1146
1,0,12,1094
1,0,13,938
1,0,14,1062
1,0,15,1018
1,0,16,1020
1,0,17,1112
1,0,18,1059
1,0,19,937
1,1,0,1013
1,1,1,931
1,1,2,1048
1,1,3,1168
1,1,4,1152
1,1,5,995
1,1,6,1004
1,1,7,957
1,1,8,1166
1,1,9,983
1,1,10,1000
1,1,11,1113
1,1,12,934
1,1,13,1086
1,1,14,1044
1,1,15,1000
1,1,16,1060
1,1,17,1028
1,1,18,1118
1,1,19,1142
1,2,0,969
1,2,1,976
1,2,2,1183
1,2,3,1124
1,2,4,916
1,2,5,1198
1,2,6,1158
1,2,7,1139
1,2,8,997
1,2,9,1171
1,2,10,1124
1,2,11,1189
1,2,12,947
1,2,13,1063
1,2,14,1160
1,2,15,1143
1,2,16,1106
1,2,17,1058
1,2,18,986
1,2,19,917
2,0,0,1138
2,0,1,1004
2,0,2,1100
2,0,3,1134
2,0,4,1168
2,0,5,1165
2,0,6,1009
2,0,7,1119
2,0,8,1182
2,0,9,1125
2,0,10,904
2,0,11,1025
2,0,12,1065
2,0,13,1178
2,0,14,1088
2,0,15,1021
2,0,16,973
2,0,17,1031
2,0,18,1120
2,0,19,1200
2,1,0,1148
2,1,1,925
2,1,2,1167
2,1,3,1141
2,1,4,943
2,1,5,1087
2,1,6,974
2,1,7,962
2,1,8,995
2,1,9,1187
2,1,10,1132
2,1,11,1058
2,1,12,1188
2,1,13,1102
2,1,14,1054
2,1,15,1078
2,1,16,1113
2,1,17,1125
2,1,18,1035
2,1,19,918
2,2,0,908
2,2,1,1164
2,2,2,1078
2,2,3,1072
2,2,4,1167
2,2,5,908
2,2,6,997
2,2,7,1017
2,2,8,926
2,2,9,1156
2,2,10,1007
2,2,11,956
2,2,12,1109
2,2,13,1044
2,2,14,1164
2,2,15,920
2,2,16,1155
2,2,17,1079
2,2,18,995
2,2,19,1116
3,0,0,910
3,0,1,906
3,0,2,1031
3,0,3,1152
3,0,4,1184
3,0,5,1187
3,0,6,987
3,0,7,933
3,0,8,1008
3,0,9,939
3,0,10,1115
3,0,11,977
3,0,12,1047
3,0,13,1116
3,0,14,995
3,0,15,1090
3,0,16,959
3,0,17,1085
3,0,18,1194
3,0,19,1176
3,1,0,1061
3,1,1,1182
3,1,2,1011
3,1,3,1008
3,1,4,1164
3,1,5,1045
3,1,6,970
3,1,7,1016
3,1,8,1040
3,1,9,1096
3,1,10,1192
3,1,11,1036
3,1,12,981
3,1,13,1084
3,1,14,1083
3,1,15,1023
3,1,16,1138
3,1,17,1093
3,1,18,1142
3,1,19,1106
3,2,0,1010
3,2,1,959
3,2,2,1132
3,2,3,1094
3,2,4,1129
3,2,5,1101
3,2,6,1010
3,2,7,1039
3,2,8,993
3,2,9,1127
3,2,10,1005
3,2,11,1196
3,2,12,1192
3,2,13,1189
3,2,14,1196
3,2,15,1144
3,2,16,1185
3,2,17,1092
3,2,18,1161
3,2,19,1130
4,0,0,989
4,0,1,962
4,0,2,1075
4,0,3,1028
4,0,4,1184
4,0,5,912
4,0,6,1195
4,0,7,1100
4,0,8,1000
4,0,9,1146
4,0,10,971
4,0,11,975
4,0,12,1122
4,0,13,985
4,0,14,1122
4,0,15,933
4,0,16,994
4,0,17,973
4,0,18,1090
4,0,19,1142
4,1,0,1140
4,1,1,955
4,1,2,1080
4,1,3,957
4,1,4,981
4,1,5,1016
4,1,6,1092
4,1,7,1168
4,1,8,922
4,1,9,1057
4,1,10,1071
4,1,11,955
4,1,12,1008
4,1,13,1101
4,1,14,1054
4,1,15,1047
4,1,16,1165
4,1,17,1176
4,1,18,1186
4,1,19,1028
4,2,0,1073
4,2,1,1071
4,2,2,1102
4,2,3,996
4,2,4,901
4,2,5,1084
4,2,6,1176
4,2,7,909
4,2,8,1091
4,2,9,1164
4,2,10,1170
4,2,11,922
4,2,12,1158
4,2,13,1173
4,2,14,1047
4,2,15,926
4,2,16,1019
4,2,17,1062
4,2,18,1130
4,2,19,1136
5,0,0,1145
5,0,1,939
5,0,2,1064
5,0,3,1038
5,0,4,1096
5,0,5,1150
5,0,6,969
5,0,7,991
5,0,8,1114
5,0,9,1066
5,0,10,1067
5,0,11,1137
5,0,12,994
5,0,13,1031
5,0,14,1023
5,0,15,995
5,0,16,1190
5,0,17,1145
5,0,18,1139
5,0,19,1116
5,1,0,1020
5,1,1,1125
5,1,2,992
5,1,3,1040
5,1,4,1175
5,1,5,1011
5,1,6,1062
5,1,7,1105
5,1,8,1128
5,1,9,1113
5,1,10,967
5,1,11,917
5,1,12,1130
5,1,13,962
5,1,14,1052
5,1,15,995
5,1,16,1021
5,1,17,958
5,1,18,1156
5,1,19,1107
5,2,0,1151
5,2,1,1176
5,2,2,1118
5,2,3,938
5,2,4,1187
5,2,5,1137
5,2,6,983
5,2,7,1170
5,2,8,965
5,2,9,1082
5,2,10,1165
5,2,11,1189
5,2,12,1049
5,2,13,1033
5,2,14,1051
5,2,15,926
5,2,16,939
5,2,17,1192
5,2,18,1000
5,2,19,932
6,0,0,1161
6,0,1,974
6,0,2,1018
6,0,3,963
6,0,4,1100
6,0,5,1166
6,0,6,951
6,0,7,1061
6,0,8,922
6,0,9,1105
6,0,10,935
6,0,11,993
6,0,12,964
6,0,13,1165
6,0,14,1010
6,0,15,1073
6,0,16,1194
6,0,17,930
6,0,18,940
6,0,19,1072
6,1,0,1167
6,1,1,939
6,1,2,918
6,1,3,1102
6,1,4,1006
6,1,5,1008
6,1,6,1013
6,1,7,1003
6,1,8,1123
6,1,9,1164
6,1,10,1149
6,1,11,1048
6,1,12,1042
6,1,13,985
6,1,14,1124
