ship,berth,k,value
0,0,0,10374
0,0,1,10217
0,0,2,8637
0,1,0,9414
0,1,1,5149
0,1,2,7213
0,2,0,5662
0,2,1,8912
0,2,2,10882
1,0,0,6560
1,0,1,7156
1,0,2,7455
1,1,0,6804
1,1,1,7149
1,1,2,5665
1,2,0,6716
1,2,1,10794
1,2,2,8641
2,0,0,9263
2,0,1,10818
2,0,2,5007
2,1,0,5464
2,1,1,5431
2,1,2,9846
2,2,0,7140
2,2,1,9309
2,2,2,10146
3,0,0,8619
3,0,1,8201
3,0,2,7150
3,1,0,8927
3,1,1,6885
3,1,2,8902
3,2,0,10932
3,2,1,8907
3,2,2,7117
4,0,0,10030
4,0,1,10454
4,0,2,7877
4,1,0,10134
4,1,1,6950
4,1,2,6766
4,2,0,7041
4,2,1,9807
4,2,2,8943
5,0,0,5475
5,0,1,9411
5,0,2,7464
5,1,0,6081
5,1,1,10065
5,1,2,6379
5,2,0,7781
5,2,1,5886
5,2,2,8878
6,0,0,6567
6,0,1,8736
6,0,2,5972
6,1,0,5859
6,1,1,8217
6,1,2,9744
6,2,0,9297
6,2,1,6949
6,2,2,6340
7,0,0,10716
7,0,1,8040
7,0,2,7003
7,1,0,6790
7,1,1,8153
7,1,2,8449
7,2,0,8045
7,2,1,6930
7,2,2,5091
8,0,0,7155
8,0,1,7864
8,0,2,5509
8,1,0,7971
8,1,1,6853
8,1,2,5752
8,2,0,8770
8,2,1,8312
8,2,2,9292
9,0,0,9366
9,0,1,10025
9,0,2,9081
9,1,0,7532
9,1,1,10292
9,1,2,10583
9,2,0,8737
9,2,1,6745
9,2,2,8730
10,0,0,5340
10,0,1,10446
10,0,2,9590
10,1,0,8480
10,1,1,6754
10,1,2,9275
10,2,0,7080
10,2,1,9847
10,2,2,7156
