ship,k,value
0,0,3
0,1,2
0,2,4
1,0,4
1,1,2
1,2,4
2,0,4
2,1,4
2,2,3
3,0,3
3,1,5
3,2,4
4,0,3
4,1,3
4,2,2
5,0,2
5,1,2
5,2,5
6,0,3
6,1,3
6,2,2
7,0,4
7,1,4
7,2,3
8,0,2
8,1,4
8,2,5
9,0,4
9,1,3
9,2,5
10,0,4
10,1,5
10,2,5
11,0,5
11,1,3
11,2,5
12,0,2
12,1,3
12,2,3
13,0,2
13,1,4
13,2,3
14,0,4
14,1,2
14,2,4
15,0,2
15,1,3
15,2,5
16,0,3
16,1,4
16,2,3
17,0,4
17,1,4
17,2,3
18,0,2
18,1,4
18,2,4
19,0,3
19,1,4
19,2,2
20,0,4
20,1,5
20,2,5
21,0,2
21,1,4
21,2,2
22,0,2
22,1,5
22,2,2
23,0,5
23,1,2
23,2,3
24,0,5
24,1,3
24,2,4
25,0,5
25,1,2
25,2,5
26,0,4
26,1,4
26,2,3
27,0,2
27,1,4
27,2,3
28,0,4
28,1,4
28,2,2
29,0,2
29,1,5
29,2,2
30,0,2
30,1,4
30,2,3
31,0,2
31,1,4
31,2,2
32,0,4
32,1,5
32,2,3
33,0,2
33,1,3
33,2,2
34,0,3
34,1,2
34,2,3
35,0,3
35,1,4
35,2,2
36,0,4
36,1,2
36,2,4
37,0,3
37,1,2
37,2,5
38,0,5
38,1,4
38,2,4
39,0,4
39,1,2
39,2,4
