ship,k,value
0,0,0.732267
0,1,0.700282
0,2,0.653653
1,0,0.798251
1,1,0.691809
1,2,0.636667
2,0,0.841057
2,1,0.669126
2,2,0.763044
3,0,0.793501
3,1,0.63021
3,2,0.8623
4,0,0.856275
4,1,0.742106
4,2,0.830448
5,0,0.708164
5,1,0.729185
5,2,0.620653
6,0,0.735216
6,1,0.701723
6,2,0.652443
7,0,0.761675
7,1,0.765658
7,2,0.846264
8,0,0.853575
8,1,0.746205
8,2,0.819956
9,0,0.675019
9,1,0.850378
9,2,0.613761
10,0,0.718916
10,1,0.747961
10,2,0.702204
11,0,0.693107
11,1,0.629923
11,2,0.614484
12,0,0.703706
12,1,0.791895
12,2,0.675728
13,0,0.798534
13,1,0.841674
13,2,0.651691
14,0,0.690083
14,1,0.867752
14,2,0.841979
15,0,0.812063
15,1,0.654517
15,2,0.646043
16,0,0.82942
16,1,0.786126
16,2,0.840416
17,0,0.809384
17,1,0.652419
17,2,0.827443
18,0,0.612945
18,1,0.816867
18,2,0.865295
19,0,0.819436
19,1,0.774958
19,2,0.811732
20,0,0.693798
20,1,0.781992
20,2,0.642184
21,0,0.674529
21,1,0.839023
21,2,0.633783
22,0,0.79015
22,1,0.83175
22,2,0.81895
23,0,0.687075
23,1,0.685724
23,2,0.695501
24,0,0.651044
24,1,0.674083
24,2,0.702912
25,0,0.756771
25,1,0.650171
25,2,0.64268
26,0,0.676471
26,1,0.828944
26,2,0.679914
27,0,0.673452
27,1,0.688196
27,2,0.744759
28,0,0.796359
28,1,0.629475
28,2,0.679118
29,0,0.636155
29,1,0.794821
29,2,0.727308
30,0,0.679181
30,1,0.822772
30,2,0.825711
31,0,0.617632
31,1,0.663133
31,2,0.715335
32,0,0.798618
32,1,0.780945
32,2,0.678753
33,0,0.844998
33,1,0.725836
33,2,0.871482
34,0,0.729174
34,1,0.808456
34,2,0.622213
35,0,0.860037
35,1,0.637493
35,2,0.617143
36,0,0.738492
36,1,0.655544
36,2,0.772416
37,0,0.826505
37,1,0.72808
37,2,0.728458
38,0,0.764889
38,1,0.640792
38,2,0.802019
39,0,0.759119
39,1,0.819716
39,2,0.672311
