ship,k,row,value
0,0,0,936
0,0,1,909
0,0,2,1192
0,0,3,1062
0,0,4,1140
0,0,5,971
0,0,6,943
0,0,7,1130
0,0,8,1158
0,0,9,1021
0,0,10,915
0,0,11,918
0,0,12,1042
0,0,13,981
0,0,14,1034
0,0,15,1031
0,0,16,916
0,0,17,1063
0,0,18,934
0,0,19,1188
0,1,0,904
0,1,1,1079
0,1,2,1072
0,1,3,1077
0,1,4,1142
0,1,5,1193
0,1,6,1084
0,1,7,907
0,1,8,978
0,1,9,1189
0,1,10,1157
0,1,11,982
0,1,12,1021
0,1,13,1089
0,1,14,1072
0,1,15,902
0,1,16,949
0,1,17,1036
0,1,18,1055
0,1,19,913
0,2,0,902
0,2,1,978
0,2,2,1161
0,2,3,924
0,2,4,1106
0,2,5,1196
0,2,6,922
0,2,7,930
0,2,8,1117
0,2,9,925
0,2,10,986
0,2,11,992
0,2,12,1081
0,2,13,977
0,2,14,1054
0,2,15,1057
0,2,16,942
0,2,17,1190
0,2,18,1117
0,2,19,1089
1,0,0,1003
1,0,1,1030
1,0,2,1019
1,0,3,1153
1,0,4,1093
1,0,5,901
1,0,6,1152
1,0,7,1036
1,0,8,1077
1,0,9,943
1,0,10,1002
1,0,11,1005
1,0,12,968
1,0,13,929
1,0,14,900
1,0,15,980
1,0,16,1009
1,0,17,1027
1,0,18,1182
1,0,19,1153
1,1,0,1051
1,1,1,1196
1,1,2,1182
1,1,3,995
1,1,4,1118
1,1,5,941
1,1,6,970
1,1,7,1157
1,1,8,928
1,1,9,967
1,1,10,1118
1,1,11,1045
1,1,12,1123
1,1,13,918
1,1,14,980
1,1,15,997
1,1,16,938
1,1,17,937
1,1,18,981
1,1,19,1122
1,2,0,1125
1,2,1,1164
1,2,2,1173
1,2,3,986
1,2,4,1188
1,2,5,1026
1,2,6,998
1,2,7,970
1,2,8,1116
1,2,9,993
1,2,10,1053
1,2,11,1127
1,2,12,1163
1,2,13,1136
1,2,14,968
1,2,15,988
1,2,16,1029
1,2,17,1084
1,2,18,1102
1,2,19,1096
2,0,0,1052
2,0,1,1113
2,0,2,982
2,0,3,1109
2,0,4,1031
2,0,5,1145
2,0,6,1133
2,0,7,917
2,0,8,938
2,0,9,1143
2,0,10,937
2,0,11,1100
2,0,12,975
2,0,13,1187
2,0,14,1127
2,0,15,1184
2,0,16,994
2,0,17,918
2,0,18,1195
2,0,19,1022
2,1,0,1009
2,1,1,1183
2,1,2,1179
2,1,3,910
2,1,4,1072
2,1,5,1046
2,1,6,979
2,1,7,1147
2,1,8,904
2,1,9,1094
2,1,10,945
2,1,11,1143
2,1,12,1053
2,1,13,1027
2,1,14,1042
2,1,15,911
2,1,16,998
2,1,17,919
2,1,18,1066
2,1,19,935
2,2,0,1153
2,2,1,1152
2,2,2,968
2,2,3,1105
2,2,4,1108
2,2,5,1011
2,2,6,971
2,2,7,1199
2,2,8,1123
2,2,9,1130
2,2,10,1117
2,2,11,987
2,2,12,1022
2,2,13,1091
