ship,k,value
0,0,3
0,1,3
0,2,3
1,0,4
1,1,2
1,2,3
2,0,5
2,1,2
2,2,2
3,0,3
3,1,2
3,2,3
4,0,3
4,1,4
4,2,3
5,0,2
5,1,2
5,2,4
6,0,5
6,1,4
6,2,5
7,0,2
7,1,2
7,2,4
8,0,3
8,1,2
8,2,3
9,0,5
9,1,5
9,2,2
10,0,5
10,1,3
10,2,3
11,0,2
11,1,4
11,2,5
12,0,5
12,1,2
12,2,5
13,0,2
13,1,4
13,2,2
14,0,2
14,1,4
14,2,4
15,0,5
15,1,2
15,2,3
16,0,2
16,1,4
16,2,2
17,0,5
17,1,2
17,2,5
18,0,4
18,1,5
18,2,2
19,0,5
19,1,4
19,2,2
20,0,4
20,1,4
20,2,5
21,0,5
21,1,4
21,2,3
22,0,2
22,1,4
22,2,4
23,0,3
23,1,5
23,2,3
24,0,3
24,1,2
24,2,5
25,0,4
25,1,3
25,2,2
26,0,5
26,1,3
26,2,2
27,0,4
27,1,4
27,2,4
28,0,5
28,1,5
28,2,3
29,0,3
29,1,4
29,2,5
30,0,2
30,1,3
30,2,3
31,0,3
31,1,4
31,2,5
32,0,2
32,1,5
32,2,4
33,0,4
33,1,4
33,2,3
34,0,3
34,1,3
34,2,5
