ship,k,value
0,0,0.695521
0,1,0.664549
0,2,0.850348
1,0,0.840989
1,1,0.814527
1,2,0.804581
2,0,0.649079
2,1,0.716233
2,2,0.73894
3,0,0.857821
3,1,0.707971
3,2,0.625574
4,0,0.694846
4,1,0.771477
4,2,0.765873
5,0,0.832287
5,1,0.619298
5,2,0.692756
6,0,0.713605
6,1,0.645308
6,2,0.858055
7,0,0.808264
7,1,0.810845
7,2,0.690937
8,0,0.652359
8,1,0.703067
8,2,0.666208
9,0,0.628915
9,1,0.684065
9,2,0.611654
10,0,0.805233
10,1,0.758466
10,2,0.784287
11,0,0.710282
11,1,0.705441
11,2,0.702337
12,0,0.816612
12,1,0.788708
12,2,0.655641
13,0,0.864874
13,1,0.695371
13,2,0.750909
14,0,0.703957
14,1,0.821586
14,2,0.869582
15,0,0.831164
15,1,0.850719
15,2,0.774664
16,0,0.638515
16,1,0.672772
16,2,0.813731
17,0,0.621028
17,1,0.803304
17,2,0.794216
18,0,0.664056
18,1,0.802408
18,2,0.845708
19,0,0.668601
19,1,0.815057
19,2,0.655828
20,0,0.861083
20,1,0.695241
20,2,0.745144
21,0,0.669288
21,1,0.861044
21,2,0.740101
22,0,0.760293
22,1,0.841901
22,2,0.781021
23,0,0.619496
23,1,0.730044
23,2,0.779701
24,0,0.642198
24,1,0.655172
24,2,0.724595
25,0,0.670148
25,1,0.634527
25,2,0.613615
26,0,0.689821
26,1,0.838976
26,2,0.730046
27,0,0.759936
27,1,0.642589
27,2,0.7086
28,0,0.716559
28,1,0.746476
28,2,0.683448
29,0,0.811737
29,1,0.678181
29,2,0.871643
30,0,0.736829
30,1,0.778601
30,2,0.796401
31,0,0.709147
31,1,0.80767
31,2,0.647157
32,0,0.844439
32,1,0.62407
32,2,0.857256
33,0,0.771941
33,1,0.700992
33,2,0.6645
34,0,0.847887
34,1,0.730131
34,2,0.75485
