ship,k,row,slot
0,0,12,3
0,1,1,3
0,2,5,4
1,0,17,5
1,1,16,4
1,2,7,1
2,0,11,1
2,1,3,3
2,1,3,4
2,2,0,1
2,2,0,2
3,0,1,2
3,1,3,2
3,2,14,3
3,2,14,4
4,0,15,0
4,1,2,3
4,1,2,4
4,2,9,2
4,2,9,3
5,0,5,0
5,0,5,1
5,1,18,3
5,1,18,4
5,2,1,0
6,0,17,0
6,1,1,5
6,1,1,6
6,2,4,0
7,0,19,2
7,0,19,3
7,0,19,4
7,1,0,3
7,1,0,4
7,1,0,5
7,2,9,0
7,2,9,1
8,0,16,0
8,0,16,1
8,0,16,2
8,1,3,1
8,2,17,1
8,2,17,2
9,0,14,2
9,1,6,4
9,2,5,2
10,0,2,0
10,0,2,1
10,1,7,0
10,2,13,1
10,2,13,2
11,0,10,3
11,1,11,2
11,2,11,0
12,0,15,5
12,0,15,6
12,1,0,0
12,2,15,1
13,0,7,2
13,0,7,3
13,1,6,0
13,1,6,1
13,2,14,0
13,2,14,1
14,0,10,1
14,0,10,2
14,1,19,0
14,1,19,1
14,2,6,2
14,2,6,3
15,0,13,0
15,1,8,0
15,1,8,1
15,2,13,3
15,2,13,4
15,2,13,5
16,0,18,0
16,0,18,1
16,1,17,3
16,1,17,4
16,2,4,2
16,2,4,3
17,0,18,2
17,1,10,0
17,2,1,1
