ship,k,e_sk
0,0,91
0,1,94.2605
0,2,97.0426
1,0,16
1,1,19.0327
1,2,21.4227
2,0,122
2,1,131.939
2,2,140.598
3,0,129
3,1,135.841
3,2,168
4,0,24.3318
4,1,30.3622
4,2,168
5,0,45.7491
5,1,56.7525
5,2,65.4913
6,0,67
6,1,72.8825
6,2,78.2217
7,0,136
7,1,155.04
7,2,164.724
8,0,50
8,1,61.5935
8,2,73.3389
9,0,143
9,1,145.429
9,2,149.292
10,0,7
10,1,18.5435
10,2,32.7833
11,0,70
11,1,77.1942
11,2,85.7312
12,0,41.3669
12,1,46.4854
12,2,55.9292
13,0,32.7938
13,1,41.9748
13,2,53.3712
14,0,16
14,1,24.1714
14,2,34.006
15,0,84
15,1,93.2765
15,2,104.695
16,0,76.2722
16,1,84.8821
16,2,99.2049
17,0,16
17,1,21.6225
17,2,168
