ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,1.29605e+06,3022,9.24433,1,20000,1.48396e+06
1,1.29535e+06,2935,8.33178,1,20000,1.46493e+06
2,3.43497e+06,5101,25.7511,1,20000,3.95509e+06
3,2.65407e+06,3782,22.5085,1,20000,3.10802e+06
4,2.45425e+06,4852,23.0905,1,20000,2.92091e+06
5,3.99683e+06,5219,35.2722,1,20000,4.70749e+06
6,2.52503e+06,4001,16.0463,1,20000,2.84995e+06
7,4.88792e+06,8383,38.6176,1,20000,5.66866e+06
8,3.85194e+06,6466,38.4074,1,20000,4.62656e+06
9,1.33557e+06,3011,8.75266,1,20000,1.51364e+06
10,4.38781e+06,5059,34.3669,1,20000,5.08021e+06
11,3.31649e+06,2771,22.2037,1,20000,3.76334e+06
12,2.62086e+06,3784,22.506,1,20000,3.07476e+06
13,4.55751e+06,6060,31.1655,1,20000,5.18689e+06
14,4.38098e+06,5702,29.7491,1,20000,4.98167e+06
15,4.09737e+06,6914,32.0669,1,20000,4.74562e+06
16,4.13568e+06,5852,51.6306,1,20000,5.17415e+06
17,2.36286e+06,2976,16.7938,1,20000,2.70171e+06
