ship,k,value
0,0,0.736528
0,1,0.855054
0,2,0.822987
1,0,0.832806
1,1,0.808045
1,2,0.872196
2,0,0.67392
2,1,0.867649
2,2,0.786773
3,0,0.837445
3,1,0.646076
3,2,0.652008
4,0,0.716628
4,1,0.769283
4,2,0.66662
5,0,0.861399
5,1,0.672009
5,2,0.870753
6,0,0.829581
6,1,0.705415
6,2,0.623391
7,0,0.749333
7,1,0.698141
7,2,0.651547
8,0,0.659945
8,1,0.833748
8,2,0.647782
9,0,0.682992
9,1,0.749754
9,2,0.699373
10,0,0.812309
10,1,0.693523
10,2,0.865332
11,0,0.856771
11,1,0.699992
11,2,0.720565
12,0,0.776545
12,1,0.7858
12,2,0.620876
13,0,0.83764
13,1,0.652401
13,2,0.741103
14,0,0.784695
14,1,0.735657
14,2,0.814316
15,0,0.723685
15,1,0.730526
15,2,0.72652
16,0,0.683174
16,1,0.662752
16,2,0.845388
17,0,0.841251
17,1,0.638496
17,2,0.831169
18,0,0.781755
18,1,0.7793
18,2,0.740858
19,0,0.636452
19,1,0.754768
19,2,0.775402
