ship,berth,k,value
0,0,0,5224
0,0,1,5856
0,0,2,8859
0,1,0,6703
0,1,1,9911
0,1,2,10075
0,2,0,10162
0,2,1,7613
0,2,2,7297
0,3,0,9249
0,3,1,9742
0,3,2,9141
0,4,0,10658
0,4,1,6932
0,4,2,8749
1,0,0,9466
1,0,1,7273
1,0,2,6691
1,1,0,6059
1,1,1,7270
1,1,2,5793
1,2,0,7371
1,2,1,7205
1,2,2,9386
1,3,0,10865
1,3,1,6596
1,3,2,5217
1,4,0,6602
1,4,1,10965
1,4,2,9996
2,0,0,8041
2,0,1,8528
2,0,2,8953
2,1,0,7862
2,1,1,10415
2,1,2,7313
2,2,0,5210
2,2,1,5599
2,2,2,8461
2,3,0,5800
2,3,1,8499
2,3,2,8507
2,4,0,10440
2,4,1,7121
2,4,2,5888
3,0,0,10894
3,0,1,8245
3,0,2,7876
3,1,0,8362
3,1,1,5735
3,1,2,9727
3,2,0,8948
3,2,1,6795
3,2,2,5516
3,3,0,5039
3,3,1,7203
3,3,2,5240
3,4,0,7860
3,4,1,9354
3,4,2,6471
4,0,0,8678
4,0,1,9385
4,0,2,6524
4,1,0,5658
4,1,1,6924
4,1,2,5691
4,2,0,10854
4,2,1,5592
4,2,2,9438
4,3,0,8053
4,3,1,5909
4,3,2,9424
4,4,0,7437
4,4,1,9075
4,4,2,6896
5,0,0,8112
5,0,1,9906
5,0,2,8093
5,1,0,10399
5,1,1,8029
5,1,2,7015
5,2,0,5036
5,2,1,9423
5,2,2,5452
5,3,0,5012
5,3,1,9811
5,3,2,5712
5,4,0,8454
5,4,1,10821
5,4,2,9994
6,0,0,7097
6,0,1,6788
6,0,2,5581
6,1,0,5997
6,1,1,9304
6,1,2,8560
6,2,0,6637
6,2,1,7743
6,2,2,8216
6,3,0,10077
6,3,1,9832
6,3,2,9188
6,4,0,5038
6,4,1,6945
6,4,2,6627
7,0,0,8005
7,0,1,6150
7,0,2,6724
7,1,0,7189
7,1,1,5599
7,1,2,8072
7,2,0,10467
7,2,1,5610
7,2,2,5285
7,3,0,9250
7,3,1,6432
7,3,2,6651
7,4,0,5942
7,4,1,10589
7,4,2,10779
8,0,0,5637
8,0,1,5954
8,0,2,6317
8,1,0,5561
8,1,1,6381
8,1,2,9385
8,2,0,6365
8,2,1,5071
8,2,2,5048
8,3,0,8066
8,3,1,9802
8,3,2,8505
8,4,0,5977
8,4,1,6135
8,4,2,6425
9,0,0,6748
9,0,1,6589
9,0,2,10850
9,1,0,8364
9,1,1,8045
9,1,2,9421
9,2,0,9613
9,2,1,5848
9,2,2,9109
9,3,0,8361
9,3,1,9515
9,3,2,7673
9,4,0,5733
9,4,1,7801
9,4,2,7483
10,0,0,7264
10,0,1,10865
10,0,2,9315
10,1,0,7196
10,1,1,8952
10,1,2,8746
10,2,0,6465
10,2,1,9424
10,2,2,5321
10,3,0,7273
10,3,1,5243
10,3,2,8907
10,4,0,9964
10,4,1,5415
10,4,2,6972
11,0,0,9557
11,0,1,9074
11,0,2,5880
11,1,0,10917
11,1,1,7292
11,1,2,5175
11,2,0,10105
11,2,1,9475
11,2,2,10072
11,3,0,5500
11,3,1,7785
11,3,2,10360
11,4,0,7281
11,4,1,5090
11,4,2,10998
12,0,0,6108
12,0,1,9279
12,0,2,9928
12,1,0,10876
12,1,1,7092
12,1,2,9260
12,2,0,5510
12,2,1,5737
12,2,2,7197
12,3,0,6493
12,3,1,5440
12,3,2,5244
12,4,0,9050
12,4,1,8483
12,4,2,5254
13,0,0,9672
13,0,1,7657
13,0,2,7712
13,1,0,8410
13,1,1,8314
13,1,2,8945
13,2,0,7623
13,2,1,6471
13,2,2,10705
13,3,0,8130
13,3,1,10898
13,3,2,9305
13,4,0,5344
13,4,1,8327
13,4,2,6238
14,0,0,10813
14,0,1,5906
14,0,2,5675
14,1,0,8807
14,1,1,10139
14,1,2,10217
14,2,0,6975
14,2,1,7383
14,2,2,7088
14,3,0,7406
14,3,1,10216
14,3,2,5813
14,4,0,9789
14,4,1,10499
14,4,2,6452
15,0,0,9754
15,0,1,9303
15,0,2,7239
15,1,0,10123
15,1,1,10799
15,1,2,5045
15,2,0,6482
15,2,1,6143
15,2,2,9343
15,3,0,9597
15,3,1,6166
15,3,2,7931
15,4,0,7715
15,4,1,6202
15,4,2,8509
16,0,0,5641
16,0,1,7400
16,0,2,8710
16,1,0,9268
16,1,1,7442
16,1,2,8768
16,2,0,7410
16,2,1,6887
16,2,2,9487
16,3,0,6491
16,3,1,5708
16,3,2,5361
16,4,0,7209
16,4,1,9764
16,4,2,9459
17,0,0,9304
17,0,1,7622
17,0,2,10334
17,1,0,5436
17,1,1,6275
17,1,2,10103
17,2,0,5365
17,2,1,9492
17,2,2,10791
17,3,0,8993
17,3,1,5475
17,3,2,7007
17,4,0,7139
17,4,1,5704
17,4,2,7905
18,0,0,7210
18,0,1,8810
18,0,2,5144
18,1,0,8076
18,1,1,10220
18,1,2,5656
18,2,0,9538
18,2,1,10825
18,2,2,7819
18,3,0,6308
18,3,1,5953
18,3,2,9044
18,4,0,5802
18,4,1,8369
18,4,2,7976
19,0,0,9393
19,0,1,10423
19,0,2,5205
19,1,0,6674
19,1,1,9023
19,1,2,7320
19,2,0,8495
19,2,1,7956
19,2,2,8573
19,3,0,9627
19,3,1,5007
19,3,2,8455
19,4,0,5922
19,4,1,9876
19,4,2,9224
