ship,k,row,slot
0,0,9,3
0,1,12,3
0,2,1,4
1,0,0,1
1,1,15,3
1,2,16,0
2,0,0,0
2,1,19,0
2,2,11,3
3,0,12,1
3,0,12,2
3,1,13,0
3,1,13,1
3,2,6,3
3,2,6,4
3,2,6,5
4,0,11,0
4,0,11,1
4,1,1,0
4,1,1,1
4,1,1,2
4,2,8,1
4,2,8,2
4,2,8,3
5,0,14,0
5,0,14,1
5,1,5,1
5,1,5,2
5,2,7,1
5,2,7,2
6,0,19,1
6,0,19,2
6,1,18,0
6,2,9,1
7,0,13,2
7,0,13,3
7,1,17,2
7,1,17,3
7,1,17,4
7,2,2,1
7,2,2,2
8,0,17,0
8,0,17,1
8,1,0,3
8,1,0,4
8,2,9,0
9,0,10,0
9,0,10,1
9,1,3,2
9,1,3,3
9,2,7,0
10,0,2,0
10,1,19,4
10,2,4,2
11,0,3,1
11,1,6,0
11,1,6,1
11,2,18,1
12,0,3,0
12,1,4,3
12,1,4,4
12,2,4,0
12,2,4,1
13,0,15,0
13,1,16,1
13,2,7,3
14,0,12,0
14,1,5,0
14,2,16,2
14,2,16,3
15,0,10,2
15,1,12,5
15,1,12,6
15,2,18,3
15,2,18,4
16,0,14,3
16,0,14,4
16,1,2,3
16,1,2,4
16,2,18,2
