ship,k,e_sk
0,0,134.587
0,1,132
0,2,137.872
1,0,20.7875
1,1,15
1,2,168
2,0,101.192
2,1,96.4626
2,2,90
3,0,18
3,1,26.6789
3,2,40.0535
4,0,153.687
4,1,136
4,2,162.91
5,0,36.6459
5,1,48.0072
5,2,59.3874
6,0,95
6,1,100.224
6,2,105.717
7,0,50
7,1,64.2339
7,2,73.5282
8,0,106.881
8,1,124.636
8,2,118.231
9,0,138.967
9,1,128.742
9,2,122
10,0,152.791
10,1,148
10,2,150.175
11,0,31
11,1,39.0959
11,2,47.7772
12,0,89.7966
12,1,99.0043
12,2,83
13,0,67
13,1,76.2086
13,2,70.4085
14,0,107.442
14,1,98.8848
14,2,90
15,0,84.5231
15,1,75.7451
15,2,68
16,0,17
16,1,23.3646
16,2,29.3422
