ship,k,row,intervals
0,0,9,"3"
0,1,12,"3"
0,2,1,"4"
1,0,0,"1"
1,1,15,"3"
1,2,16,"0"
2,0,0,"0"
2,1,19,"0"
2,2,11,"3"
3,0,12,"1-2"
3,1,13,"0-1"
3,2,6,"3-5"
4,0,11,"0-1"
4,1,1,"0-2"
4,2,8,"1-3"
5,0,14,"0-1"
5,1,5,"1-2"
5,2,7,"1-2"
6,0,19,"1-2"
6,1,18,"0"
6,2,9,"1"
7,0,13,"2-3"
7,1,17,"2-4"
7,2,2,"1-2"
8,0,17,"0-1"
8,1,0,"3-4"
8,2,9,"0"
9,0,10,"0-1"
9,1,3,"2-3"
9,2,7,"0"
10,0,2,"0"
10,1,19,"4"
10,2,4,"2"
11,0,3,"1"
11,1,6,"0-1"
11,2,18,"1"
12,0,3,"0"
12,1,4,"3-4"
12,2,4,"0-1"
13,0,15,"0"
13,1,16,"1"
13,2,7,"3"
14,0,12,"0"
14,1,5,"0"
14,2,16,"2-3"
15,0,10,"2"
15,1,12,"5-6"
15,2,18,"3-4"
16,0,14,"3-4"
16,1,2,"3-4"
16,2,18,"2"
