ship,k,value
0,0,2
0,1,2
0,2,1
1,0,1
1,1,2
1,2,2
2,0,2
2,1,1
2,2,2
3,0,1
3,1,1
3,2,1
4,0,2
4,1,1
4,2,2
5,0,1
5,1,1
5,2,1
6,0,3
6,1,3
6,2,2
7,0,1
7,1,1
7,2,1
8,0,1
8,1,1
8,2,2
9,0,2
9,1,2
9,2,2
10,0,1
10,1,1
10,2,1
11,0,1
11,1,1
11,2,2
12,0,2
12,1,3
12,2,3
13,0,1
13,1,1
13,2,1
14,0,3
14,1,2
14,2,2
15,0,2
15,1,1
15,2,1
16,0,2
16,1,1
16,2,2
17,0,1
17,1,2
17,2,1
18,0,2
18,1,1
18,2,1
19,0,2
19,1,1
19,2,2
20,0,2
20,1,1
20,2,1
21,0,3
21,1,3
21,2,2
22,0,1
22,1,1
22,2,1
23,0,1
23,1,1
23,2,2
24,0,2
24,1,1
24,2,1
