ship,k,value
0,0,0.74528
0,1,0.867397
0,2,0.759003
1,0,0.7896
1,1,0.761708
1,2,0.671197
2,0,0.63319
2,1,0.776834
2,2,0.858585
3,0,0.679528
3,1,0.851108
3,2,0.776184
4,0,0.737481
4,1,0.861687
4,2,0.648456
5,0,0.836781
5,1,0.793936
5,2,0.754888
6,0,0.745944
6,1,0.783401
6,2,0.662995
7,0,0.830619
7,1,0.827014
7,2,0.644778
8,0,0.703196
8,1,0.659218
8,2,0.725144
9,0,0.618447
9,1,0.703914
9,2,0.734532
10,0,0.820619
10,1,0.846984
10,2,0.840742
11,0,0.650969
11,1,0.872245
11,2,0.801399
12,0,0.665362
12,1,0.624267
12,2,0.666967
13,0,0.810422
13,1,0.794533
13,2,0.614119
14,0,0.677627
14,1,0.847068
14,2,0.611689
15,0,0.692641
15,1,0.76446
15,2,0.68305
16,0,0.66007
16,1,0.690522
16,2,0.621483
17,0,0.795985
17,1,0.872345
17,2,0.637737
18,0,0.710767
18,1,0.74206
18,2,0.80389
19,0,0.83116
19,1,0.70599
19,2,0.834213
20,0,0.636045
20,1,0.782274
20,2,0.772999
21,0,0.637214
21,1,0.661884
21,2,0.705903
22,0,0.66247
22,1,0.719188
22,2,0.636215
23,0,0.718474
23,1,0.851185
23,2,0.744101
24,0,0.842734
24,1,0.738945
24,2,0.82658
