ship,k,value
0,0,4
0,1,3
0,2,5
1,0,3
1,1,2
1,2,2
2,0,2
2,1,4
2,2,2
3,0,3
3,1,5
3,2,3
4,0,5
4,1,5
4,2,5
5,0,4
5,1,3
5,2,3
6,0,2
6,1,2
6,2,3
7,0,3
7,1,4
7,2,4
8,0,3
8,1,5
8,2,2
9,0,4
9,1,3
9,2,3
10,0,2
10,1,3
10,2,5
11,0,5
11,1,4
11,2,2
12,0,4
12,1,2
12,2,2
13,0,3
13,1,4
13,2,5
14,0,2
14,1,3
14,2,4
15,0,2
15,1,3
15,2,4
16,0,2
16,1,5
16,2,3
17,0,5
17,1,2
17,2,5
18,0,2
18,1,4
18,2,3
19,0,2
19,1,4
19,2,2
20,0,3
20,1,3
20,2,4
21,0,2
21,1,2
21,2,3
22,0,5
22,1,2
22,2,4
23,0,5
23,1,5
23,2,2
24,0,2
24,1,3
24,2,5
