ship,berth,k,value
0,0,0,7047
0,0,1,7584
0,0,2,5139
0,1,0,10111
0,1,1,9578
0,1,2,10137
0,2,0,5272
0,2,1,5849
0,2,2,9943
0,3,0,8052
0,3,1,8689
0,3,2,10973
0,4,0,6155
0,4,1,9538
0,4,2,5136
1,0,0,9279
1,0,1,8340
1,0,2,6881
1,1,0,10484
1,1,1,6075
1,1,2,8524
1,2,0,9287
1,2,1,5070
1,2,2,5160
1,3,0,9161
1,3,1,8563
1,3,2,5145
1,4,0,8614
1,4,1,9990
1,4,2,5374
2,0,0,9692
2,0,1,10047
2,0,2,5169
2,1,0,9380
2,1,1,9425
2,1,2,9540
2,2,0,5307
2,2,1,7646
2,2,2,5229
2,3,0,8931
2,3,1,6338
2,3,2,6406
2,4,0,9388
2,4,1,9014
2,4,2,7131
3,0,0,5598
3,0,1,8719
3,0,2,9975
3,1,0,10002
3,1,1,6735
3,1,2,5933
3,2,0,8699
3,2,1,10292
3,2,2,5528
3,3,0,8361
3,3,1,6075
3,3,2,6214
3,4,0,5787
3,4,1,7369
3,4,2,5210
4,0,0,5286
4,0,1,9835
4,0,2,6833
4,1,0,6423
4,1,1,9287
4,1,2,7903
4,2,0,5784
4,2,1,7679
4,2,2,8159
4,3,0,9350
4,3,1,10843
4,3,2,5376
4,4,0,6140
4,4,1,5328
4,4,2,6344
5,0,0,6438
5,0,1,7460
5,0,2,7157
5,1,0,5549
5,1,1,6249
5,1,2,9294
5,2,0,6774
5,2,1,7245
5,2,2,5128
5,3,0,10307
5,3,1,7749
5,3,2,8161
5,4,0,8129
5,4,1,7334
5,4,2,6416
6,0,0,6422
6,0,1,9586
6,0,2,5574
6,1,0,6738
6,1,1,9214
6,1,2,8692
6,2,0,8844
6,2,1,5115
6,2,2,10056
6,3,0,8662
6,3,1,8703
6,3,2,5309
6,4,0,5453
6,4,1,6823
6,4,2,9150
7,0,0,8628
7,0,1,6223
7,0,2,10425
7,1,0,9386
7,1,1,8310
7,1,2,6788
7,2,0,8585
7,2,1,7244
7,2,2,5958
7,3,0,5638
7,3,1,6754
7,3,2,5110
7,4,0,9515
7,4,1,5534
7,4,2,10121
8,0,0,6757
8,0,1,7030
8,0,2,5817
8,1,0,6614
8,1,1,7957
8,1,2,5075
8,2,0,8281
8,2,1,9137
8,2,2,7327
8,3,0,10057
8,3,1,8392
8,3,2,10569
8,4,0,7363
8,4,1,5323
8,4,2,9539
9,0,0,7547
9,0,1,6702
9,0,2,10808
9,1,0,9348
9,1,1,7743
9,1,2,7335
9,2,0,9101
9,2,1,6444
9,2,2,8323
9,3,0,10706
9,3,1,6837
9,3,2,8759
9,4,0,10397
9,4,1,9992
9,4,2,7567
10,0,0,9568
10,0,1,8254
10,0,2,10295
10,1,0,9518
10,1,1,7280
10,1,2,5599
10,2,0,6938
10,2,1,5629
10,2,2,10440
10,3,0,8360
10,3,1,9062
10,3,2,8641
10,4,0,10321
10,4,1,9417
10,4,2,5705
11,0,0,9749
11,0,1,6839
11,0,2,9860
11,1,0,8490
11,1,1,9232
11,1,2,6248
11,2,0,8272
11,2,1,7004
11,2,2,9771
11,3,0,7811
11,3,1,5506
11,3,2,10841
11,4,0,5429
11,4,1,10781
11,4,2,8879
12,0,0,5656
12,0,1,10911
12,0,2,8452
12,1,0,10709
12,1,1,10086
12,1,2,6479
12,2,0,5447
12,2,1,7124
12,2,2,5997
12,3,0,5499
12,3,1,6270
12,3,2,6596
12,4,0,6856
12,4,1,5511
12,4,2,10363
13,0,0,8688
13,0,1,9495
13,0,2,10633
13,1,0,8118
13,1,1,6752
13,1,2,6309
13,2,0,5949
13,2,1,6438
13,2,2,7941
13,3,0,10877
13,3,1,6909
13,3,2,5553
13,4,0,7150
13,4,1,7887
13,4,2,5521
14,0,0,9167
14,0,1,6038
14,0,2,9305
14,1,0,10456
14,1,1,5873
14,1,2,6751
14,2,0,8380
14,2,1,5147
14,2,2,6395
14,3,0,10321
14,3,1,7053
14,3,2,9423
14,4,0,9090
14,4,1,7751
14,4,2,6686
15,0,0,9690
15,0,1,6444
15,0,2,9013
15,1,0,6189
15,1,1,7005
15,1,2,9971
15,2,0,8766
15,2,1,9259
15,2,2,5563
15,3,0,10951
15,3,1,10161
15,3,2,8644
15,4,0,10948
15,4,1,8747
15,4,2,10030
16,0,0,10170
16,0,1,6591
16,0,2,9178
16,1,0,7837
16,1,1,10139
16,1,2,8526
16,2,0,8397
16,2,1,9284
16,2,2,5306
16,3,0,9686
16,3,1,9601
16,3,2,6075
16,4,0,6619
16,4,1,6381
16,4,2,5883
17,0,0,10515
17,0,1,5775
17,0,2,9800
17,1,0,10412
17,1,1,7868
17,1,2,9151
17,2,0,8957
17,2,1,5946
17,2,2,10534
17,3,0,6340
17,3,1,7847
17,3,2,8990
17,4,0,7238
17,4,1,8157
17,4,2,6686
18,0,0,9799
18,0,1,6104
18,0,2,5788
18,1,0,5469
18,1,1,8381
18,1,2,8143
18,2,0,5844
18,2,1,5651
18,2,2,9057
18,3,0,5831
18,3,1,9527
18,3,2,5929
18,4,0,6345
18,4,1,7958
18,4,2,8901
19,0,0,6820
19,0,1,6826
19,0,2,5869
19,1,0,7214
19,1,1,9502
19,1,2,10196
19,2,0,9835
19,2,1,5735
19,2,2,10987
19,3,0,10705
19,3,1,10586
19,3,2,10573
19,4,0,6932
19,4,1,8367
19,4,2,6322
20,0,0,9303
20,0,1,8682
20,0,2,7537
20,1,0,6334
20,1,1,6807
20,1,2,7613
20,2,0,10919
20,2,1,6555
20,2,2,8666
20,3,0,7107
20,3,1,10276
20,3,2,7048
20,4,0,5300
20,4,1,8837
20,4,2,9305
21,0,0,6161
21,0,1,10745
21,0,2,9251
21,1,0,6277
21,1,1,6390
21,1,2,8149
21,2,0,9138
21,2,1,7420
21,2,2,5812
21,3,0,10090
21,3,1,9783
21,3,2,7295
21,4,0,9459
21,4,1,5446
21,4,2,8021
22,0,0,7177
22,0,1,6468
22,0,2,6038
22,1,0,10849
22,1,1,6862
22,1,2,6458
22,2,0,7405
22,2,1,7726
22,2,2,5602
22,3,0,10617
22,3,1,5302
22,3,2,8683
22,4,0,6666
22,4,1,8779
22,4,2,7706
23,0,0,5881
23,0,1,7871
23,0,2,5950
23,1,0,10491
23,1,1,8417
23,1,2,8675
23,2,0,10651
23,2,1,7930
23,2,2,8751
23,3,0,7266
23,3,1,8812
23,3,2,7672
23,4,0,10353
23,4,1,6663
23,4,2,7226
24,0,0,5423
24,0,1,8774
24,0,2,5118
24,1,0,7845
24,1,1,7363
24,1,2,7063
24,2,0,8230
24,2,1,5181
24,2,2,9558
24,3,0,5807
24,3,1,5336
24,3,2,9701
24,4,0,6170
24,4,1,5207
24,4,2,6025
