ship,k,value
0,0,1
0,1,1
0,2,1
1,0,3
1,1,2
1,2,3
2,0,2
2,1,2
2,2,1
3,0,1
3,1,2
3,2,1
4,0,2
4,1,2
4,2,2
5,0,1
5,1,1
5,2,2
6,0,1
6,1,1
6,2,1
7,0,1
7,1,1
7,2,1
8,0,1
8,1,2
8,2,1
9,0,1
9,1,1
9,2,1
10,0,2
10,1,2
10,2,2
11,0,2
11,1,1
11,2,1
12,0,2
12,1,2
12,2,1
13,0,1
13,1,1
13,2,1
14,0,2
14,1,2
14,2,2
15,0,2
15,1,1
15,2,1
16,0,1
16,1,1
16,2,1
17,0,2
17,1,1
17,2,1
18,0,2
18,1,3
18,2,1
19,0,2
19,1,1
19,2,1
20,0,2
20,1,2
20,2,2
21,0,2
21,1,2
21,2,1
22,0,2
22,1,2
22,2,2
23,0,1
23,1,3
23,2,3
24,0,2
24,1,2
24,2,2
25,0,1
25,1,2
25,2,1
26,0,1
26,1,2
26,2,2
27,0,1
27,1,2
27,2,2
28,0,1
28,1,1
28,2,2
29,0,3
29,1,2
29,2,3
30,0,2
30,1,1
30,2,1
31,0,1
31,1,2
31,2,1
32,0,2
32,1,1
32,2,1
33,0,2
33,1,1
33,2,2
34,0,2
34,1,2
34,2,2
35,0,1
35,1,1
35,2,2
36,0,1
36,1,2
36,2,3
37,0,2
37,1,2
37,2,2
38,0,2
38,1,2
38,2,2
39,0,1
39,1,1
39,2,2
40,0,1
40,1,1
40,2,1
41,0,2
41,1,3
41,2,2
42,0,1
42,1,1
42,2,1
43,0,1
43,1,1
43,2,2
44,0,1
44,1,1
44,2,1
45,0,2
45,1,2
45,2,2
46,0,2
46,1,2
46,2,2
47,0,2
47,1,2
47,2,2
48,0,1
48,1,1
48,2,1
49,0,1
49,1,1
49,2,1
