ship,k,value
0,0,0.86001
0,1,0.701148
0,2,0.685194
1,0,0.622837
1,1,0.824592
1,2,0.646428
2,0,0.616412
2,1,0.690242
2,2,0.827803
3,0,0.706166
3,1,0.615496
3,2,0.774027
4,0,0.729827
4,1,0.618418
4,2,0.614727
5,0,0.781663
5,1,0.772508
5,2,0.720232
6,0,0.800622
6,1,0.823926
6,2,0.62086
7,0,0.749818
7,1,0.751691
7,2,0.702038
8,0,0.822991
8,1,0.788831
8,2,0.814102
9,0,0.642349
9,1,0.84375
9,2,0.696783
10,0,0.76304
10,1,0.613789
10,2,0.696951
11,0,0.753781
11,1,0.871004
11,2,0.853271
12,0,0.618913
12,1,0.626918
12,2,0.868673
13,0,0.799541
13,1,0.699738
13,2,0.75278
14,0,0.814134
14,1,0.829022
14,2,0.679375
15,0,0.632396
15,1,0.649445
15,2,0.627044
16,0,0.827309
16,1,0.655979
16,2,0.639781
17,0,0.765458
17,1,0.727125
17,2,0.777362
18,0,0.852416
18,1,0.650079
18,2,0.850719
19,0,0.665927
19,1,0.805611
19,2,0.793089
20,0,0.691447
20,1,0.746695
20,2,0.731813
21,0,0.712664
21,1,0.658742
21,2,0.823516
22,0,0.669075
22,1,0.766594
22,2,0.670364
23,0,0.813223
23,1,0.69599
23,2,0.703406
24,0,0.781455
24,1,0.848638
24,2,0.710205
25,0,0.855294
25,1,0.734116
25,2,0.73205
26,0,0.699262
26,1,0.650244
26,2,0.678225
27,0,0.811161
27,1,0.698172
27,2,0.711318
28,0,0.787589
28,1,0.678255
28,2,0.692409
29,0,0.638223
29,1,0.756695
29,2,0.659864
30,0,0.80638
30,1,0.834218
30,2,0.852907
31,0,0.748841
31,1,0.749713
31,2,0.808977
32,0,0.618103
32,1,0.69498
32,2,0.658176
33,0,0.729181
33,1,0.740113
33,2,0.661443
34,0,0.833715
34,1,0.866201
34,2,0.639677
35,0,0.698274
35,1,0.776305
35,2,0.814357
36,0,0.802653
36,1,0.739337
36,2,0.833533
37,0,0.620745
37,1,0.676306
37,2,0.648525
38,0,0.857272
38,1,0.611643
38,2,0.642306
39,0,0.689992
39,1,0.753826
39,2,0.671172
40,0,0.850176
40,1,0.773503
40,2,0.63716
41,0,0.717801
41,1,0.648511
41,2,0.618392
42,0,0.807662
42,1,0.63317
42,2,0.652364
43,0,0.808373
43,1,0.751691
43,2,0.713355
44,0,0.78665
44,1,0.795627
44,2,0.664337
45,0,0.781146
45,1,0.65324
45,2,0.66556
46,0,0.749173
46,1,0.794816
46,2,0.714532
47,0,0.68254
47,1,0.711196
47,2,0.804809
48,0,0.656566
48,1,0.714563
48,2,0.642495
49,0,0.763553
49,1,0.734496
49,2,0.678687
